Orthogroup	Species	Deinococcus_radiodurans_aa	Orthologs
OG0000027	Bacillus_subtilis_aa	UDL01538.1	CAB14997.1, CAB13607.2, CAB14615.1, CAB13078.1
OG0000027	Rhodococcus_erythropolis_aa	UDL01538.1	ALU70733.1, ALU72937.1, ALU72364.1, ALU73014.1, ALU72730.1, ALU70726.1, ALU73398.1
OG0000028	Rhodococcus_erythropolis_aa	UDK99338.1	ALU73194.1, ALU67985.1, ALU68921.1, ALU71365.1, ALU70048.1, ALU73536.1, ALU68648.1, ALU73526.1, ALU68548.1, ALU69343.1, ALU68521.1
OG0000030	Rhodococcus_erythropolis_aa	UDL01179.1	ALU71025.1, ALU68686.1, ALU69237.1, ALU68977.1, ALU68135.1, ALU72241.1, ALU68617.1, ALU68973.1, ALU71144.1, ALU71139.1, ALU70299.1
OG0000033	Bacillus_subtilis_aa	UDL00213.1, UDL00691.1, UDL01697.1, UDL00349.1	CAB13543.1, CAB11933.1, CAB12805.1, CAB12627.1, CAB13067.1
OG0000033	Rhodococcus_erythropolis_aa	UDL00213.1, UDL00691.1, UDL01697.1, UDL00349.1	ALU73163.1, ALU73435.1
OG0000034	Bacillus_subtilis_aa	UDL01018.1	CAB12141.2, CAB16091.1, CAB12336.1, CAB13249.1, CAB14863.1, CAB12334.1
OG0000034	Rhodococcus_erythropolis_aa	UDL01018.1	ALU68547.1
OG0000035	Bacillus_subtilis_aa	UDL01178.1, UDL01639.1	CAB12954.1, CAB12822.2, CAB13328.1, CAB12212.2, CAB15646.1, CAB15602.1
OG0000035	Rhodococcus_erythropolis_aa	UDL01178.1	ALU71608.1
OG0000035	Rhodococcus_erythropolis_aa	UDL01639.1	ALU68021.1, ALU72982.1
OG0000037	Bacillus_subtilis_aa	UDL01116.1, UDL01005.1, UDL00816.1, UDL00182.1, UDK99563.1, UDL01619.1, UDL00912.1	CAX52706.1, CAX52589.1
OG0000037	Rhodococcus_erythropolis_aa	UDL01116.1, UDL01005.1, UDL00816.1, UDL00182.1, UDK99563.1, UDL01619.1, UDL00912.1	ALU71078.1, ALU68370.1
OG0000040	Bacillus_subtilis_aa	UDK99380.1	CAB11949.1
OG0000040	Rhodococcus_erythropolis_aa	UDK99380.1	ALU68230.1, ALU73602.1, ALU70016.1
OG0000041	Bacillus_subtilis_aa	UDL00966.1	CAB15423.2, CAB12044.2
OG0000041	Rhodococcus_erythropolis_aa	UDL00966.1	ALU68737.1, ALU68804.1, ALU72798.1, ALU68630.1, ALU71706.1, ALU68244.1, ALU72925.1
OG0000042	Rhodococcus_erythropolis_aa	UDK99242.1	ALU71602.1, ALU72452.1
OG0000042	Bacillus_subtilis_aa	UDK99242.1	CAB12225.1, CAB16025.1, CAB12110.2, CAB14660.1
OG0000042	Rhodococcus_erythropolis_aa	UDL01425.1	ALU72167.1
OG0000042	Bacillus_subtilis_aa	UDL01425.1	CAB14191.1
OG0000045	Rhodococcus_erythropolis_aa	UDL02179.1, UDK99658.1, UDK99669.1	ALU70086.1, ALU71766.1, ALU72742.1
OG0000045	Bacillus_subtilis_aa	UDL02179.1	CAB12182.2
OG0000045	Bacillus_subtilis_aa	UDK99658.1, UDK99669.1	CAB15019.1, CAB13310.1, CAB15317.3
OG0000046	Bacillus_subtilis_aa	UDL00825.1, UDL00444.1	CAB12304.1
OG0000046	Rhodococcus_erythropolis_aa	UDL00825.1, UDL00444.1	ALU69677.1, ALU70555.1, ALU70554.1, ALU69446.1
OG0000046	Bacillus_subtilis_aa	UDL00475.1	CAB13156.2
OG0000048	Bacillus_subtilis_aa	UDL00738.1, UDL00400.1	CAB12712.1
OG0000048	Rhodococcus_erythropolis_aa	UDL00738.1, UDL00400.1	ALU69333.1, ALU68360.1
OG0000049	Bacillus_subtilis_aa	UDL01207.1, UDL02253.1, UDL02252.1	CAB12798.1, CAB15119.2, CAB12794.1, CAB14602.1, CAB14406.1
OG0000049	Rhodococcus_erythropolis_aa	UDL01207.1, UDL02253.1, UDL02252.1	ALU70995.1, ALU70996.1
OG0000051	Bacillus_subtilis_aa	UDL01630.1, UDL01523.1, UDL00917.1, UDL00367.1	CAB13450.1
OG0000051	Rhodococcus_erythropolis_aa	UDL01630.1, UDL01523.1, UDL00917.1, UDL00367.1	ALU68187.1, ALU70568.1, ALU68186.1, ALU70445.1, ALU71937.1
OG0000052	Bacillus_subtilis_aa	UDL01686.1, UDL02016.1	CAB13726.1
OG0000052	Rhodococcus_erythropolis_aa	UDL01686.1	ALU67875.1, ALU71045.1
OG0000052	Rhodococcus_erythropolis_aa	UDL02016.1	ALU68756.1, ALU72132.1
OG0000053	Bacillus_subtilis_aa	UDL00466.1	CAB15415.1, CAB15131.1
OG0000053	Rhodococcus_erythropolis_aa	UDL00466.1	ALU68350.1, ALU71253.1, ALU72981.1, ALU72734.1
OG0000053	Rhodococcus_erythropolis_aa	UDL00445.1	ALU68934.1
OG0000053	Bacillus_subtilis_aa	UDL00445.1	CAB14632.2
OG0000054	Bacillus_subtilis_aa	UDL01395.1	CAB14815.1, CAB15453.2
OG0000054	Rhodococcus_erythropolis_aa	UDL01395.1	ALU70700.1, ALU72776.1, ALU72971.1, ALU72315.1, ALU73564.1, ALU67849.1, ALU68500.1
OG0000055	Bacillus_subtilis_aa	UDK99884.1, UDL00025.1	CAB15066.1, CAB15069.1
OG0000055	Rhodococcus_erythropolis_aa	UDK99884.1	ALU70557.1
OG0000055	Rhodococcus_erythropolis_aa	UDL00025.1	ALU72551.1
OG0000057	Rhodococcus_erythropolis_aa	UDK99906.1	ALU70410.1, ALU68987.1, ALU71621.1, ALU73010.1, ALU72714.1, ALU69845.1, ALU69609.1, ALU69312.1, ALU69310.1
OG0000058	Rhodococcus_erythropolis_aa	UDL01505.1	ALU70972.1, ALU67711.1, ALU68732.1, ALU69725.1, ALU69726.1, ALU68672.1, ALU67904.1, ALU68855.1, ALU69656.1
OG0000064	Bacillus_subtilis_aa	UDL01981.1	CAB15508.1, CAB12611.1, CAB16050.1, CAB12404.1, CAB12031.1, CAB15246.1
OG0000064	Rhodococcus_erythropolis_aa	UDL01981.1	ALU70189.1, ALU71866.1
OG0000065	Bacillus_subtilis_aa	UDL00440.1, UDL00533.1, UDL00814.1	CAB12209.1, CAB14263.1, CAB13314.1, CAB12889.1
OG0000065	Rhodococcus_erythropolis_aa	UDL00440.1, UDL00533.1, UDL00814.1	ALU68705.1, ALU71511.1
OG0000067	Bacillus_subtilis_aa	UDL00477.1, UDL01262.1, UDL00652.1	CAB14331.2, CAB12492.1, CAB14972.1
OG0000067	Rhodococcus_erythropolis_aa	UDL00477.1	ALU71720.1, ALU70920.1
OG0000067	Rhodococcus_erythropolis_aa	UDL01262.1, UDL00652.1	ALU69203.1
OG0000068	Bacillus_subtilis_aa	UDL00443.1	CAB13276.2, CAB12667.1
OG0000068	Rhodococcus_erythropolis_aa	UDL00443.1	ALU70160.1, ALU69623.1, ALU68112.1, ALU69578.1, ALU71340.1, ALU69568.1
OG0000069	Bacillus_subtilis_aa	UDL01228.1	CAB12711.3
OG0000069	Rhodococcus_erythropolis_aa	UDL01228.1	ALU73006.1, ALU71672.1, ALU70155.1, ALU69538.1, ALU69334.1, ALU68345.1, ALU73670.1
OG0000070	Bacillus_subtilis_aa	UDL01986.1	CAB13568.1
OG0000070	Rhodococcus_erythropolis_aa	UDL01986.1	ALU73064.1
OG0000071	Bacillus_subtilis_aa	UDL01817.1	CAB15824.1, CAB13867.1, CAB15817.1, CAB15572.1, CAB15438.2, CAB15435.1, CAB15433.1, CAB15585.1
OG0000072	Bacillus_subtilis_aa	UDL02056.1	CAB15848.2, CAB14659.1
OG0000072	Rhodococcus_erythropolis_aa	UDL02056.1	ALU70208.1, ALU70051.1, ALU72967.1, ALU69533.1, ALU71710.1, ALU69873.1
OG0000073	Bacillus_subtilis_aa	UDL01571.1, UDL00587.1	CAB15601.3, CAB15569.1, CAB15582.1
OG0000073	Rhodococcus_erythropolis_aa	UDL01571.1, UDL00587.1	ALU69402.1, ALU73162.1, ALU71764.1, ALU68041.1
OG0000074	Rhodococcus_erythropolis_aa	UDK99457.1	ALU69983.1
OG0000074	Rhodococcus_erythropolis_aa	UDK99951.1, UDK99950.1, UDK99303.1, UDK99731.1, UDL00033.1, UDL00120.1	ALU72962.1
OG0000081	Bacillus_subtilis_aa	UDL00156.1	CAB12736.1, CAB12256.1, CAB12051.2
OG0000081	Rhodococcus_erythropolis_aa	UDL00156.1	ALU70000.1, ALU71147.1, ALU72391.1, ALU70055.1
OG0000082	Bacillus_subtilis_aa	UDK99488.1	CAB12417.1, CAB12057.2
OG0000082	Bacillus_subtilis_aa	UDK99968.1	CAB13655.1
OG0000082	Rhodococcus_erythropolis_aa	UDK99968.1	ALU73441.1, ALU70924.1, ALU72607.1
OG0000083	Rhodococcus_erythropolis_aa	UDL02203.1	ALU71274.1
OG0000083	Bacillus_subtilis_aa	UDL02203.1	CAB12204.1
OG0000085	Bacillus_subtilis_aa	UDL00061.1	CAB14111.1, CAB12738.1, CAB12319.1
OG0000085	Rhodococcus_erythropolis_aa	UDL00061.1	ALU67735.1, ALU69826.1, ALU68936.1, ALU72598.1
OG0000086	Bacillus_subtilis_aa	UDK99316.1	CAB12350.1
OG0000086	Rhodococcus_erythropolis_aa	UDK99316.1	ALU67902.1, ALU72053.1, ALU70459.1, ALU72889.1, ALU72788.1, ALU71915.1
OG0000087	Bacillus_subtilis_aa	UDK99659.1, UDL00720.1	CAB12414.2, CAB12571.2, CAB13316.1
OG0000087	Rhodococcus_erythropolis_aa	UDK99659.1	ALU69634.1
OG0000087	Rhodococcus_erythropolis_aa	UDL00720.1	ALU71026.1
OG0000088	Bacillus_subtilis_aa	UDL01028.1, UDL01990.1	CAB15912.1
OG0000088	Rhodococcus_erythropolis_aa	UDL01028.1, UDL01990.1	ALU70973.1, ALU71249.1
OG0000088	Bacillus_subtilis_aa	UDK99882.1	CAB12547.2
OG0000089	Bacillus_subtilis_aa	UDK99800.1	CAB14153.1
OG0000089	Bacillus_subtilis_aa	UDL01662.1	CAB13273.2, CAB12796.1, CAB15129.2
OG0000089	Rhodococcus_erythropolis_aa	UDL01662.1	ALU72843.1, ALU69519.1
OG0000090	Rhodococcus_erythropolis_aa	UDL00789.1, UDK99531.1	ALU73418.1, ALU68442.1
OG0000090	Bacillus_subtilis_aa	UDL00789.1, UDK99531.1	CAB12847.2
OG0000091	Bacillus_subtilis_aa	UDK99286.1	CAB12856.1
OG0000091	Rhodococcus_erythropolis_aa	UDK99286.1	ALU68760.1, ALU73375.1, ALU72747.1
OG0000093	Bacillus_subtilis_aa	UDL01978.1, UDL00102.1	CAB12997.1
OG0000093	Rhodococcus_erythropolis_aa	UDL01978.1, UDL00102.1	ALU73514.1, ALU68155.1
OG0000094	Rhodococcus_erythropolis_aa	UDL00831.1, UDL00131.1	ALU70018.1, ALU69788.1
OG0000094	Bacillus_subtilis_aa	UDL00831.1, UDL00131.1	CAB13147.2, CAB15290.2, CAB16073.1, CAB14354.2
OG0000095	Bacillus_subtilis_aa	UDL01321.1, UDK99650.1	CAB13199.2
OG0000095	Rhodococcus_erythropolis_aa	UDL01321.1, UDK99650.1	ALU67893.1, ALU68671.1, ALU68087.1, ALU69905.1, ALU69904.1
OG0000096	Rhodococcus_erythropolis_aa	UDK99389.1, UDK99537.1	ALU72206.1
OG0000096	Bacillus_subtilis_aa	UDK99389.1, UDK99537.1	CAB14247.2, CAB13257.1, CAB13685.1
OG0000097	Rhodococcus_erythropolis_aa	UDK99657.1	ALU72741.1, ALU71767.1, ALU70085.1, ALU73052.1
OG0000097	Bacillus_subtilis_aa	UDK99657.1	CAB15318.2, CAB13309.1, CAB15020.1
OG0000098	Bacillus_subtilis_aa	UDK99891.1	CAB13799.1
OG0000098	Rhodococcus_erythropolis_aa	UDK99891.1	ALU69270.1, ALU71363.1, ALU73463.1, ALU71920.1, ALU72474.1, ALU70658.1
OG0000099	Rhodococcus_erythropolis_aa	UDL02054.1	ALU70791.1
OG0000099	Bacillus_subtilis_aa	UDL02054.1	CAB14591.1, CAB14592.2
OG0000100	Bacillus_subtilis_aa	UDL01318.1	CAB14416.2
OG0000100	Rhodococcus_erythropolis_aa	UDL01318.1	ALU72768.1, ALU68792.1, ALU72262.1, ALU69707.1, ALU72916.1, ALU70563.1
OG0000101	Bacillus_subtilis_aa	UDK99451.1, UDL00055.1	CAB15168.1, CAB15094.1, CAB14683.1
OG0000101	Rhodococcus_erythropolis_aa	UDK99451.1, UDL00055.1	ALU72678.1, ALU69950.1, ALU72795.1
OG0000102	Bacillus_subtilis_aa	UDL01902.1	CAB15084.1
OG0000102	Rhodococcus_erythropolis_aa	UDL01902.1	ALU69773.1, ALU70723.1, ALU72771.1, ALU73519.1, ALU67727.1, ALU73325.1
OG0000103	Bacillus_subtilis_aa	UDL01911.1	CAB15375.1, CAB15385.1, CAB15387.1, CAB15377.1
OG0000103	Rhodococcus_erythropolis_aa	UDL01911.1	ALU70043.1, ALU69291.1, ALU69289.1
OG0000104	Bacillus_subtilis_aa	UDL01616.1, UDK99600.1	CAB15444.1
OG0000104	Rhodococcus_erythropolis_aa	UDL01616.1, UDK99600.1	ALU69739.1, ALU69738.1, ALU70159.1, ALU68537.1, ALU67769.1
OG0000105	Rhodococcus_erythropolis_aa	UDL01544.1	ALU69034.1, ALU70385.1, ALU72926.1, ALU72946.1, ALU73319.1, ALU73131.1, ALU68426.1
OG0000111	Bacillus_subtilis_aa	UDL00184.1	CAB11862.1
OG0000111	Rhodococcus_erythropolis_aa	UDL00184.1	ALU73135.1, ALU68935.1, ALU72194.1, ALU69471.1, ALU72481.1
OG0000112	Bacillus_subtilis_aa	UDK99694.1	CAB12343.1
OG0000112	Rhodococcus_erythropolis_aa	UDL01696.1	ALU67684.1, ALU70773.1
OG0000112	Bacillus_subtilis_aa	UDL01696.1	CAB12015.1, CAB12149.2
OG0000114	Bacillus_subtilis_aa	UDL01284.1	CAB16014.1, CAB12071.1, CAB12792.1
OG0000114	Rhodococcus_erythropolis_aa	UDL01284.1	ALU67725.1, ALU70093.1, ALU69176.1
OG0000115	Bacillus_subtilis_aa	UDL01184.1, UDL02205.1, UDL01601.1, UDK99744.1	CAB12155.2, CAB12132.1, CAB15986.1
OG0000116	Bacillus_subtilis_aa	UDK99829.1	CAB12160.2
OG0000116	Rhodococcus_erythropolis_aa	UDK99829.1	ALU67760.1, ALU73245.1, ALU72695.1, ALU70489.1, ALU68577.1
OG0000119	Rhodococcus_erythropolis_aa	UDL01850.1	ALU70435.1, ALU70708.1
OG0000119	Bacillus_subtilis_aa	UDL01850.1	CAB13804.1
OG0000119	Rhodococcus_erythropolis_aa	UDL00700.1	ALU70621.1
OG0000119	Bacillus_subtilis_aa	UDL00700.1	CAB12340.1
OG0000120	Bacillus_subtilis_aa	UDL00294.1	CAB12386.1
OG0000120	Rhodococcus_erythropolis_aa	UDL00294.1	ALU69190.1, ALU68940.1, ALU68866.1
OG0000121	Rhodococcus_erythropolis_aa	UDK99725.1	ALU72803.1, ALU72421.1
OG0000121	Bacillus_subtilis_aa	UDK99725.1	CAB14590.1, CAB12388.2, CAB13097.1, CAB15228.1
OG0000122	Rhodococcus_erythropolis_aa	UDK99294.1, UDK99248.1	ALU68260.1
OG0000122	Bacillus_subtilis_aa	UDK99294.1	CAB13828.2
OG0000122	Bacillus_subtilis_aa	UDK99248.1	CAB14334.1, CAB12637.1, CAB13333.1
OG0000123	Bacillus_subtilis_aa	UDL01398.1	CAB15751.1
OG0000123	Bacillus_subtilis_aa	UDL02096.1	CAB12697.2, CAB13305.1, CAB12810.1
OG0000123	Rhodococcus_erythropolis_aa	UDL02096.1	ALU70312.1
OG0000124	Bacillus_subtilis_aa	UDL02170.1, UDL02219.1, UDK99785.1	CAB12740.1
OG0000124	Rhodococcus_erythropolis_aa	UDL02170.1, UDL02219.1, UDK99785.1	ALU68151.1, ALU72435.1, ALU70640.1
OG0000125	Bacillus_subtilis_aa	UDL01653.1	CAB15778.2, CAB14148.1, CAB12851.2, CAB15138.2
OG0000125	Rhodococcus_erythropolis_aa	UDL01653.1	ALU68375.1, ALU68316.1
OG0000126	Bacillus_subtilis_aa	UDL01794.1	CAB13434.1, CAB12931.1
OG0000126	Rhodococcus_erythropolis_aa	UDL01794.1	ALU72219.1, ALU70216.1, ALU68096.1, ALU70396.1
OG0000127	Bacillus_subtilis_aa	UDL00647.1, UDK99274.1, UDL00964.1, UDL01034.1	CAB15565.1, CAB12951.1
OG0000127	Rhodococcus_erythropolis_aa	UDL00647.1, UDK99274.1, UDL00964.1, UDL01034.1	ALU70374.1
OG0000128	Rhodococcus_erythropolis_aa	UDL00658.1	ALU68153.1, ALU73512.1, ALU67724.1
OG0000128	Bacillus_subtilis_aa	UDL00658.1	CAB13157.2, CAB13004.1, CAB12994.2
OG0000129	Rhodococcus_erythropolis_aa	UDL00095.1	ALU69742.1, ALU68654.1, ALU70981.1
OG0000129	Bacillus_subtilis_aa	UDL00095.1	CAB15210.2, CAB15200.1, CAB13086.1
OG0000131	Rhodococcus_erythropolis_aa	UDL00149.1, UDL00150.1	ALU72880.1
OG0000131	Bacillus_subtilis_aa	UDL00149.1, UDL00150.1	CAB15454.1, CAB13166.1, CAB13167.1, CAB15455.1
OG0000132	Bacillus_subtilis_aa	UDL00080.1	CAB13188.1, CAB13629.1
OG0000132	Rhodococcus_erythropolis_aa	UDL00080.1	ALU73505.1, ALU68404.1, ALU72587.1, ALU72517.1
OG0000133	Bacillus_subtilis_aa	UDL01504.1	CAB15838.1
OG0000133	Rhodococcus_erythropolis_aa	UDL01504.1	ALU70588.1, ALU69425.1
OG0000134	Bacillus_subtilis_aa	UDL01265.1	CAB13862.1, CAB13409.2
OG0000134	Rhodococcus_erythropolis_aa	UDL01265.1	ALU67888.1, ALU68953.1, ALU70879.1, ALU70004.1
OG0000135	Bacillus_subtilis_aa	UDK99269.1	CAB13802.1
OG0000135	Rhodococcus_erythropolis_aa	UDK99269.1	ALU72454.1, ALU70794.1, ALU70515.1, ALU68806.1, ALU69827.1
OG0000136	Bacillus_subtilis_aa	UDL01261.1, UDL00474.1, UDL01350.1, UDK99929.1, UDL00384.1, UDL01900.1	CAB14795.2
OG0000137	Bacillus_subtilis_aa	UDL00808.1	CAB14828.1
OG0000137	Rhodococcus_erythropolis_aa	UDL00808.1	ALU69098.1, ALU72630.1, ALU71257.1, ALU70074.1, ALU68193.1
OG0000138	Bacillus_subtilis_aa	UDL01540.1	CAB14933.1
OG0000138	Rhodococcus_erythropolis_aa	UDL01540.1	ALU69465.1, ALU72645.1, ALU72359.1, ALU69272.1, ALU68632.1
OG0000139	Rhodococcus_erythropolis_aa	UDK99365.1	ALU72845.1, ALU69229.1, ALU69107.1, ALU72846.1
OG0000139	Bacillus_subtilis_aa	UDK99365.1	CAB15036.1, CAB15213.2
OG0000140	Bacillus_subtilis_aa	UDL02243.1, UDK99827.1, UDL01414.1	CAB15347.1
OG0000140	Rhodococcus_erythropolis_aa	UDL02243.1, UDK99827.1, UDL01414.1	ALU69658.1, ALU68158.1, ALU68543.1
OG0000141	Bacillus_subtilis_aa	UDL01813.1	CAB15642.1, CAB15441.1
OG0000141	Rhodococcus_erythropolis_aa	UDL01813.1	ALU72543.1, ALU72554.1, ALU73213.1, ALU73214.1
OG0000142	Bacillus_subtilis_aa	UDL01338.1	CAB15892.1
OG0000142	Rhodococcus_erythropolis_aa	UDL01338.1	ALU72189.1, ALU73060.1, ALU72035.1, ALU69583.1, ALU68586.1
OG0000143	Bacillus_subtilis_aa	UDL01847.1	CAB15925.1
OG0000143	Rhodococcus_erythropolis_aa	UDL01847.1	ALU71823.1, ALU72944.1, ALU68947.1, ALU72671.1, ALU72041.1
OG0000145	Rhodococcus_erythropolis_aa	UDK99477.1, UDL01156.1, UDL00178.1	ALU72515.1, ALU69699.1, ALU70769.1, ALU72313.1
OG0000146	Rhodococcus_erythropolis_aa	UDK99978.1	ALU70500.1, ALU69442.1, ALU72279.1, ALU67710.1, ALU68763.1, ALU71675.1
OG0000147	Rhodococcus_erythropolis_aa	UDL00138.1	ALU73399.1, ALU73453.1, ALU73031.1, ALU72104.1, ALU70326.1, ALU71435.1
OG0000148	Rhodococcus_erythropolis_aa	UDL00217.1	ALU69070.1, ALU69477.1, ALU73075.1, ALU69426.1, ALU69124.1, ALU68574.1
OG0000149	Rhodococcus_erythropolis_aa	UDL02156.1	ALU73443.1, ALU73423.1, ALU73560.1, ALU73409.1, ALU73481.1, ALU73743.1
OG0000156	Bacillus_subtilis_aa	UDL00170.1	CAB11856.1
OG0000156	Rhodococcus_erythropolis_aa	UDL00170.1	ALU67672.1
OG0000156	Bacillus_subtilis_aa	UDL01566.1	CAB14392.1, CAB15443.1
OG0000157	Bacillus_subtilis_aa	UDK99614.1	CAB11958.1
OG0000157	Rhodococcus_erythropolis_aa	UDK99614.1	ALU68995.1, ALU71694.1
OG0000158	Bacillus_subtilis_aa	UDK99723.1	CAB14349.2
OG0000158	Rhodococcus_erythropolis_aa	UDL01120.1	ALU68053.1
OG0000158	Bacillus_subtilis_aa	UDL01120.1	CAB12007.1, CAB12801.1
OG0000159	Bacillus_subtilis_aa	UDL00490.1	CAB15118.2, CAB15461.1, CAB12078.1, CAB12610.1
OG0000159	Rhodococcus_erythropolis_aa	UDL00490.1	ALU70319.1
OG0000160	Rhodococcus_erythropolis_aa	UDL01791.1	ALU71427.1
OG0000160	Bacillus_subtilis_aa	UDL01791.1	CAB12122.1, CAB13435.1
OG0000160	Bacillus_subtilis_aa	UDK99952.1	CAB14774.1
OG0000162	Bacillus_subtilis_aa	UDL00597.1	CAB14664.1, CAB13073.1
OG0000162	Rhodococcus_erythropolis_aa	UDL00597.1	ALU71325.1
OG0000164	Bacillus_subtilis_aa	UDL00004.1	CAB12331.1, CAB12787.1, CAB12197.1
OG0000164	Rhodococcus_erythropolis_aa	UDL00004.1	ALU67716.1, ALU68366.1
OG0000165	Rhodococcus_erythropolis_aa	UDL00854.1, UDL00754.1	ALU70775.1
OG0000165	Bacillus_subtilis_aa	UDL00854.1	CAB14787.2
OG0000166	Rhodococcus_erythropolis_aa	UDL02108.1	ALU68387.1
OG0000166	Bacillus_subtilis_aa	UDL02108.1	CAB12880.1, CAB12784.1, CAB12226.1, CAB12883.1
OG0000168	Bacillus_subtilis_aa	UDL01897.1	CAB15403.1, CAB12311.1
OG0000168	Rhodococcus_erythropolis_aa	UDL01897.1	ALU72325.1, ALU68858.1, ALU72407.1
