Orthogroup	Species	Rhodococcus_erythropolis_aa	Orthologs
OG0000027	Bacillus_subtilis_aa	ALU70733.1, ALU72937.1, ALU72364.1, ALU73014.1, ALU72730.1, ALU70726.1, ALU73398.1	CAB14997.1, CAB13607.2, CAB14615.1, CAB13078.1
OG0000027	Deinococcus_radiodurans_aa	ALU70733.1, ALU72937.1, ALU72364.1, ALU73014.1, ALU72730.1, ALU70726.1, ALU73398.1	UDL01538.1
OG0000028	Deinococcus_radiodurans_aa	ALU73194.1, ALU67985.1, ALU68921.1, ALU71365.1, ALU70048.1, ALU73536.1, ALU68648.1, ALU73526.1, ALU68548.1, ALU69343.1, ALU68521.1	UDK99338.1
OG0000030	Deinococcus_radiodurans_aa	ALU71025.1, ALU68686.1, ALU69237.1, ALU68977.1, ALU68135.1, ALU72241.1, ALU68617.1, ALU68973.1, ALU71144.1, ALU71139.1, ALU70299.1	UDL01179.1
OG0000033	Bacillus_subtilis_aa	ALU73163.1, ALU73435.1	CAB13543.1, CAB11933.1, CAB12805.1, CAB12627.1, CAB13067.1
OG0000033	Deinococcus_radiodurans_aa	ALU73163.1, ALU73435.1	UDL00213.1, UDL00691.1, UDL01697.1, UDL00349.1
OG0000034	Bacillus_subtilis_aa	ALU69306.1	CAB15373.2, CAB13845.1
OG0000034	Bacillus_subtilis_aa	ALU68547.1	CAB12141.2, CAB16091.1, CAB12336.1, CAB13249.1, CAB14863.1, CAB12334.1
OG0000034	Deinococcus_radiodurans_aa	ALU68547.1	UDL01018.1
OG0000035	Bacillus_subtilis_aa	ALU71608.1, ALU68021.1, ALU72982.1	CAB12954.1, CAB12822.2, CAB13328.1, CAB12212.2, CAB15646.1, CAB15602.1
OG0000035	Deinococcus_radiodurans_aa	ALU71608.1	UDL01178.1
OG0000035	Deinococcus_radiodurans_aa	ALU68021.1, ALU72982.1	UDL01639.1
OG0000036	Bacillus_subtilis_aa	ALU71411.1, ALU68834.1, ALU72668.1, ALU69672.1, ALU69936.1, ALU69166.1, ALU69447.1, ALU70409.1, ALU72524.1, ALU70617.1	CAB15784.1
OG0000037	Bacillus_subtilis_aa	ALU71078.1, ALU68370.1	CAX52706.1, CAX52589.1
OG0000037	Deinococcus_radiodurans_aa	ALU71078.1, ALU68370.1	UDL01116.1, UDL01005.1, UDL00816.1, UDL00182.1, UDK99563.1, UDL01619.1, UDL00912.1
OG0000040	Bacillus_subtilis_aa	ALU68230.1, ALU73602.1, ALU70016.1	CAB11949.1
OG0000040	Deinococcus_radiodurans_aa	ALU68230.1, ALU73602.1, ALU70016.1	UDK99380.1
OG0000040	Bacillus_subtilis_aa	ALU69536.1, ALU70100.1	CAB12791.1, CAB15896.1, CAB11874.1
OG0000041	Bacillus_subtilis_aa	ALU68737.1, ALU68804.1, ALU72798.1, ALU68630.1, ALU71706.1, ALU68244.1, ALU72925.1	CAB15423.2, CAB12044.2
OG0000041	Deinococcus_radiodurans_aa	ALU68737.1, ALU68804.1, ALU72798.1, ALU68630.1, ALU71706.1, ALU68244.1, ALU72925.1	UDL00966.1
OG0000042	Deinococcus_radiodurans_aa	ALU71602.1, ALU72452.1	UDK99242.1
OG0000042	Bacillus_subtilis_aa	ALU71602.1	CAB12225.1, CAB16025.1
OG0000042	Bacillus_subtilis_aa	ALU72452.1	CAB12110.2, CAB14660.1
OG0000042	Deinococcus_radiodurans_aa	ALU72167.1	UDL01425.1
OG0000042	Bacillus_subtilis_aa	ALU72167.1	CAB14191.1
OG0000044	Bacillus_subtilis_aa	ALU71031.1	CAB15186.3, CAB13713.1, CAB12145.2, CAB13716.1, CAB12142.2, CAB12143.2, CAB13717.2, CAB13715.1, CAB13714.2
OG0000045	Deinococcus_radiodurans_aa	ALU70086.1, ALU71766.1, ALU72742.1	UDL02179.1, UDK99658.1, UDK99669.1
OG0000045	Bacillus_subtilis_aa	ALU70086.1, ALU71766.1, ALU72742.1	CAB12182.2, CAB15019.1, CAB13310.1, CAB15317.3
OG0000046	Deinococcus_radiodurans_aa	ALU69677.1, ALU70555.1, ALU70554.1, ALU69446.1	UDL00825.1, UDL00444.1
OG0000046	Bacillus_subtilis_aa	ALU69677.1, ALU70555.1, ALU70554.1, ALU69446.1	CAB12304.1
OG0000047	Bacillus_subtilis_aa	ALU71172.1, ALU73126.1, ALU71580.1, ALU71769.1, ALU70958.1, ALU70460.1, ALU72837.1, ALU71665.1	CAB12658.1, CAB15916.1
OG0000048	Deinococcus_radiodurans_aa	ALU69333.1, ALU68360.1	UDL00738.1, UDL00400.1
OG0000048	Bacillus_subtilis_aa	ALU69333.1, ALU68360.1	CAB12712.1
OG0000048	Bacillus_subtilis_aa	ALU69537.1	CAB15037.2
OG0000049	Bacillus_subtilis_aa	ALU70995.1, ALU70996.1	CAB12798.1, CAB15119.2, CAB12794.1, CAB14602.1, CAB14406.1
OG0000049	Deinococcus_radiodurans_aa	ALU70995.1, ALU70996.1	UDL01207.1, UDL02253.1, UDL02252.1
OG0000050	Bacillus_subtilis_aa	ALU68717.1, ALU71218.1, ALU68718.1, ALU70133.1	CAB13191.1, CAB13240.1, CAB14088.1, CAB14800.1, CAB15782.1, CAB15276.1
OG0000051	Bacillus_subtilis_aa	ALU68187.1, ALU70568.1, ALU68186.1, ALU70445.1, ALU71937.1	CAB13450.1
OG0000051	Deinococcus_radiodurans_aa	ALU68187.1, ALU70568.1, ALU68186.1, ALU70445.1, ALU71937.1	UDL01630.1, UDL01523.1, UDL00917.1, UDL00367.1
OG0000052	Bacillus_subtilis_aa	ALU71906.1, ALU72134.1, ALU67960.1, ALU67875.1, ALU71045.1, ALU68756.1, ALU72132.1	CAB13726.1
OG0000052	Deinococcus_radiodurans_aa	ALU67875.1, ALU71045.1	UDL01686.1
OG0000052	Deinococcus_radiodurans_aa	ALU68756.1, ALU72132.1	UDL02016.1
OG0000053	Bacillus_subtilis_aa	ALU68350.1, ALU71253.1, ALU72981.1, ALU72734.1	CAB15415.1, CAB15131.1
OG0000053	Deinococcus_radiodurans_aa	ALU68350.1, ALU71253.1, ALU72981.1, ALU72734.1	UDL00466.1
OG0000053	Deinococcus_radiodurans_aa	ALU68934.1	UDL00445.1
OG0000053	Bacillus_subtilis_aa	ALU68934.1	CAB14632.2
OG0000054	Bacillus_subtilis_aa	ALU70700.1, ALU72776.1, ALU72971.1, ALU72315.1, ALU73564.1, ALU67849.1, ALU68500.1	CAB14815.1, CAB15453.2
OG0000054	Deinococcus_radiodurans_aa	ALU70700.1, ALU72776.1, ALU72971.1, ALU72315.1, ALU73564.1, ALU67849.1, ALU68500.1	UDL01395.1
OG0000055	Bacillus_subtilis_aa	ALU72254.1, ALU72293.1, ALU70013.1, ALU71182.1, ALU70557.1, ALU72551.1	CAB15066.1, CAB15069.1
OG0000055	Deinococcus_radiodurans_aa	ALU70557.1	UDK99884.1
OG0000055	Deinococcus_radiodurans_aa	ALU72551.1	UDL00025.1
OG0000057	Deinococcus_radiodurans_aa	ALU70410.1, ALU68987.1, ALU71621.1, ALU73010.1, ALU72714.1, ALU69845.1, ALU69609.1, ALU69312.1, ALU69310.1	UDK99906.1
OG0000058	Deinococcus_radiodurans_aa	ALU70972.1, ALU67711.1, ALU68732.1, ALU69725.1, ALU69726.1, ALU68672.1, ALU67904.1, ALU68855.1, ALU69656.1	UDL01505.1
OG0000064	Bacillus_subtilis_aa	ALU70189.1, ALU71866.1	CAB15508.1, CAB12611.1, CAB16050.1, CAB12404.1, CAB12031.1, CAB15246.1
OG0000064	Deinococcus_radiodurans_aa	ALU70189.1, ALU71866.1	UDL01981.1
OG0000065	Bacillus_subtilis_aa	ALU68705.1, ALU71511.1	CAB12209.1, CAB14263.1, CAB13314.1, CAB12889.1
OG0000065	Deinococcus_radiodurans_aa	ALU68705.1, ALU71511.1	UDL00440.1, UDL00533.1, UDL00814.1
OG0000066	Bacillus_subtilis_aa	ALU71213.1	CAB15600.2, CAB16017.1, CAB12655.1, CAB12442.1, CAB13647.2, CAB15401.1, CAB16007.2, CAB16121.2
OG0000067	Bacillus_subtilis_aa	ALU71720.1, ALU70920.1, ALU69203.1	CAB14331.2, CAB12492.1, CAB14972.1
OG0000067	Deinococcus_radiodurans_aa	ALU71720.1, ALU70920.1	UDL00477.1
OG0000067	Deinococcus_radiodurans_aa	ALU69203.1	UDL01262.1, UDL00652.1
OG0000068	Bacillus_subtilis_aa	ALU70160.1, ALU69623.1, ALU68112.1, ALU69578.1, ALU71340.1, ALU69568.1	CAB13276.2, CAB12667.1
OG0000068	Deinococcus_radiodurans_aa	ALU70160.1, ALU69623.1, ALU68112.1, ALU69578.1, ALU71340.1, ALU69568.1	UDL00443.1
OG0000069	Bacillus_subtilis_aa	ALU73006.1, ALU71672.1, ALU70155.1, ALU69538.1, ALU69334.1, ALU68345.1, ALU73670.1	CAB12711.3
OG0000069	Deinococcus_radiodurans_aa	ALU73006.1, ALU71672.1, ALU70155.1, ALU69538.1, ALU69334.1, ALU68345.1, ALU73670.1	UDL01228.1
OG0000070	Bacillus_subtilis_aa	ALU73064.1	CAB13568.1
OG0000070	Deinococcus_radiodurans_aa	ALU73064.1	UDL01986.1
OG0000070	Bacillus_subtilis_aa	ALU71468.1, ALU71369.1, ALU73048.1, ALU69676.1	CAB15449.1
OG0000072	Bacillus_subtilis_aa	ALU70208.1, ALU70051.1, ALU72967.1, ALU69533.1, ALU71710.1, ALU69873.1	CAB15848.2, CAB14659.1
OG0000072	Deinococcus_radiodurans_aa	ALU70208.1, ALU70051.1, ALU72967.1, ALU69533.1, ALU71710.1, ALU69873.1	UDL02056.1
OG0000073	Bacillus_subtilis_aa	ALU69402.1, ALU73162.1, ALU71764.1, ALU68041.1	CAB15601.3, CAB15569.1, CAB15582.1
OG0000073	Deinococcus_radiodurans_aa	ALU69402.1, ALU73162.1, ALU71764.1, ALU68041.1	UDL01571.1, UDL00587.1
OG0000074	Deinococcus_radiodurans_aa	ALU69983.1	UDK99457.1
OG0000074	Deinococcus_radiodurans_aa	ALU72962.1	UDK99951.1, UDK99950.1, UDK99303.1, UDK99731.1, UDL00033.1, UDL00120.1
OG0000081	Bacillus_subtilis_aa	ALU70000.1, ALU71147.1, ALU72391.1, ALU70055.1	CAB12736.1, CAB12256.1, CAB12051.2
OG0000081	Deinococcus_radiodurans_aa	ALU70000.1, ALU71147.1, ALU72391.1, ALU70055.1	UDL00156.1
OG0000082	Bacillus_subtilis_aa	ALU73441.1, ALU70924.1, ALU72607.1	CAB13655.1
OG0000082	Deinococcus_radiodurans_aa	ALU73441.1, ALU70924.1, ALU72607.1	UDK99968.1
OG0000083	Bacillus_subtilis_aa	ALU71274.1	CAB12204.1
OG0000083	Deinococcus_radiodurans_aa	ALU71274.1	UDL02203.1
OG0000083	Bacillus_subtilis_aa	ALU67717.1	CAB15647.1, CAB15099.1, CAB16013.1, CAB13311.1
OG0000085	Bacillus_subtilis_aa	ALU67735.1, ALU69826.1, ALU68936.1, ALU72598.1	CAB14111.1, CAB12738.1, CAB12319.1
OG0000085	Deinococcus_radiodurans_aa	ALU67735.1, ALU69826.1, ALU68936.1, ALU72598.1	UDL00061.1
OG0000086	Bacillus_subtilis_aa	ALU67902.1, ALU72053.1, ALU70459.1, ALU72889.1, ALU72788.1, ALU71915.1	CAB12350.1
OG0000086	Deinococcus_radiodurans_aa	ALU67902.1, ALU72053.1, ALU70459.1, ALU72889.1, ALU72788.1, ALU71915.1	UDK99316.1
OG0000087	Bacillus_subtilis_aa	ALU70314.1, ALU69634.1, ALU71026.1	CAB12414.2, CAB12571.2, CAB13316.1
OG0000087	Deinococcus_radiodurans_aa	ALU69634.1	UDK99659.1
OG0000087	Deinococcus_radiodurans_aa	ALU71026.1	UDL00720.1
OG0000088	Deinococcus_radiodurans_aa	ALU70973.1, ALU71249.1	UDL01028.1, UDL01990.1
OG0000088	Bacillus_subtilis_aa	ALU70973.1, ALU71249.1	CAB15912.1
OG0000089	Bacillus_subtilis_aa	ALU72843.1, ALU69519.1	CAB13273.2, CAB12796.1, CAB15129.2
OG0000089	Deinococcus_radiodurans_aa	ALU72843.1, ALU69519.1	UDL01662.1
OG0000090	Bacillus_subtilis_aa	ALU71829.1	CAB15983.2, CAB14889.1
OG0000090	Bacillus_subtilis_aa	ALU73418.1, ALU68442.1	CAB12847.2
OG0000090	Deinococcus_radiodurans_aa	ALU73418.1, ALU68442.1	UDL00789.1, UDK99531.1
OG0000091	Deinococcus_radiodurans_aa	ALU68760.1, ALU73375.1, ALU72747.1	UDK99286.1
OG0000091	Bacillus_subtilis_aa	ALU68760.1, ALU73375.1, ALU72747.1	CAB12856.1
OG0000091	Bacillus_subtilis_aa	ALU68061.1	CAB15174.1
OG0000092	Bacillus_subtilis_aa	ALU68473.1, ALU70533.1, ALU71928.1, ALU68472.1, ALU68424.1, ALU68132.1, ALU70772.1	CAB12922.1
OG0000093	Bacillus_subtilis_aa	ALU73514.1, ALU68155.1	CAB12997.1
OG0000093	Deinococcus_radiodurans_aa	ALU73514.1, ALU68155.1	UDL01978.1, UDL00102.1
OG0000093	Bacillus_subtilis_aa	ALU67747.1	CAB13151.1, CAB13002.1
OG0000094	Deinococcus_radiodurans_aa	ALU70018.1, ALU69788.1	UDL00831.1, UDL00131.1
OG0000094	Bacillus_subtilis_aa	ALU70018.1, ALU69788.1	CAB13147.2, CAB15290.2, CAB16073.1, CAB14354.2
OG0000095	Bacillus_subtilis_aa	ALU67893.1, ALU68671.1, ALU68087.1, ALU69905.1, ALU69904.1	CAB13199.2
OG0000095	Deinococcus_radiodurans_aa	ALU67893.1, ALU68671.1, ALU68087.1, ALU69905.1, ALU69904.1	UDL01321.1, UDK99650.1
OG0000096	Bacillus_subtilis_aa	ALU67763.1	CAB13296.2
OG0000096	Deinococcus_radiodurans_aa	ALU72206.1	UDK99389.1, UDK99537.1
OG0000096	Bacillus_subtilis_aa	ALU72206.1	CAB14247.2, CAB13257.1, CAB13685.1
OG0000097	Deinococcus_radiodurans_aa	ALU72741.1, ALU71767.1, ALU70085.1, ALU73052.1	UDK99657.1
OG0000097	Bacillus_subtilis_aa	ALU72741.1, ALU71767.1, ALU70085.1, ALU73052.1	CAB15318.2, CAB13309.1, CAB15020.1
OG0000098	Bacillus_subtilis_aa	ALU69270.1, ALU71363.1, ALU73463.1, ALU71920.1, ALU72474.1, ALU70658.1	CAB13799.1
OG0000098	Deinococcus_radiodurans_aa	ALU69270.1, ALU71363.1, ALU73463.1, ALU71920.1, ALU72474.1, ALU70658.1	UDK99891.1
OG0000099	Deinococcus_radiodurans_aa	ALU70791.1	UDL02054.1
OG0000099	Bacillus_subtilis_aa	ALU70791.1	CAB14591.1, CAB14592.2
OG0000099	Bacillus_subtilis_aa	ALU71903.1	CAB14594.1, CAB15009.2, CAB14385.2
OG0000100	Bacillus_subtilis_aa	ALU72768.1, ALU68792.1, ALU72262.1, ALU69707.1, ALU72916.1, ALU70563.1	CAB14416.2
OG0000100	Deinococcus_radiodurans_aa	ALU72768.1, ALU68792.1, ALU72262.1, ALU69707.1, ALU72916.1, ALU70563.1	UDL01318.1
OG0000101	Bacillus_subtilis_aa	ALU72678.1, ALU69950.1, ALU72795.1	CAB15168.1, CAB15094.1, CAB14683.1
OG0000101	Deinococcus_radiodurans_aa	ALU72678.1, ALU69950.1, ALU72795.1	UDK99451.1, UDL00055.1
OG0000102	Bacillus_subtilis_aa	ALU69773.1, ALU70723.1, ALU72771.1, ALU73519.1, ALU67727.1, ALU73325.1	CAB15084.1
OG0000102	Deinococcus_radiodurans_aa	ALU69773.1, ALU70723.1, ALU72771.1, ALU73519.1, ALU67727.1, ALU73325.1	UDL01902.1
OG0000103	Bacillus_subtilis_aa	ALU70043.1, ALU69291.1, ALU69289.1	CAB15375.1, CAB15385.1, CAB15387.1, CAB15377.1
OG0000103	Deinococcus_radiodurans_aa	ALU70043.1, ALU69291.1, ALU69289.1	UDL01911.1
OG0000104	Bacillus_subtilis_aa	ALU69739.1, ALU69738.1, ALU70159.1, ALU68537.1, ALU67769.1	CAB15444.1
OG0000104	Deinococcus_radiodurans_aa	ALU69739.1, ALU69738.1, ALU70159.1, ALU68537.1, ALU67769.1	UDL01616.1, UDK99600.1
OG0000105	Deinococcus_radiodurans_aa	ALU69034.1, ALU70385.1, ALU72926.1, ALU72946.1, ALU73319.1, ALU73131.1, ALU68426.1	UDL01544.1
OG0000111	Bacillus_subtilis_aa	ALU73135.1, ALU68935.1, ALU72194.1, ALU69471.1, ALU72481.1	CAB11862.1
OG0000111	Deinococcus_radiodurans_aa	ALU73135.1, ALU68935.1, ALU72194.1, ALU69471.1, ALU72481.1	UDL00184.1
OG0000112	Deinococcus_radiodurans_aa	ALU67684.1, ALU70773.1	UDL01696.1
OG0000112	Bacillus_subtilis_aa	ALU67684.1, ALU70773.1	CAB12015.1, CAB12149.2
OG0000113	Bacillus_subtilis_aa	ALU70631.1, ALU72789.1, ALU67768.1, ALU68978.1, ALU73608.1	CAB16036.2, CAB12062.1
OG0000114	Bacillus_subtilis_aa	ALU67725.1, ALU70093.1, ALU69176.1	CAB16014.1, CAB12071.1, CAB12792.1
OG0000114	Deinococcus_radiodurans_aa	ALU67725.1, ALU70093.1, ALU69176.1	UDL01284.1
OG0000116	Bacillus_subtilis_aa	ALU67760.1, ALU73245.1, ALU72695.1, ALU70489.1, ALU68577.1	CAB12160.2
OG0000116	Deinococcus_radiodurans_aa	ALU67760.1, ALU73245.1, ALU72695.1, ALU70489.1, ALU68577.1	UDK99829.1
OG0000117	Bacillus_subtilis_aa	ALU72594.1, ALU68405.1, ALU73506.1, ALU72297.1	CAB12280.2, CAB13520.1, CAB13218.1
OG0000119	Bacillus_subtilis_aa	ALU70435.1, ALU70708.1	CAB13804.1
OG0000119	Deinococcus_radiodurans_aa	ALU70435.1, ALU70708.1	UDL01850.1
OG0000119	Deinococcus_radiodurans_aa	ALU70621.1	UDL00700.1
OG0000119	Bacillus_subtilis_aa	ALU70621.1	CAB12340.1
OG0000120	Bacillus_subtilis_aa	ALU68446.1	CAB12541.1
OG0000120	Bacillus_subtilis_aa	ALU69190.1, ALU68940.1, ALU68866.1	CAB12386.1
OG0000120	Deinococcus_radiodurans_aa	ALU69190.1, ALU68940.1, ALU68866.1	UDL00294.1
OG0000121	Deinococcus_radiodurans_aa	ALU72803.1, ALU72421.1	UDK99725.1
OG0000121	Bacillus_subtilis_aa	ALU72803.1, ALU72421.1	CAB14590.1, CAB12388.2, CAB13097.1, CAB15228.1
OG0000122	Deinococcus_radiodurans_aa	ALU68260.1	UDK99294.1, UDK99248.1
OG0000122	Bacillus_subtilis_aa	ALU68260.1	CAB13828.2, CAB14334.1, CAB12637.1, CAB13333.1
OG0000123	Bacillus_subtilis_aa	ALU70312.1	CAB12697.2, CAB13305.1, CAB12810.1
OG0000123	Deinococcus_radiodurans_aa	ALU70312.1	UDL02096.1
OG0000124	Bacillus_subtilis_aa	ALU68151.1, ALU72435.1, ALU70640.1	CAB12740.1
OG0000124	Deinococcus_radiodurans_aa	ALU68151.1, ALU72435.1, ALU70640.1	UDL02170.1, UDL02219.1, UDK99785.1
OG0000125	Bacillus_subtilis_aa	ALU68375.1, ALU68316.1	CAB15778.2, CAB14148.1, CAB12851.2, CAB15138.2
OG0000125	Deinococcus_radiodurans_aa	ALU68375.1, ALU68316.1	UDL01653.1
OG0000126	Bacillus_subtilis_aa	ALU72219.1, ALU70216.1, ALU68096.1, ALU70396.1	CAB13434.1, CAB12931.1
OG0000126	Deinococcus_radiodurans_aa	ALU72219.1, ALU70216.1, ALU68096.1, ALU70396.1	UDL01794.1
OG0000127	Bacillus_subtilis_aa	ALU70374.1	CAB15565.1, CAB12951.1
OG0000127	Deinococcus_radiodurans_aa	ALU70374.1	UDL00647.1, UDK99274.1, UDL00964.1, UDL01034.1
OG0000128	Deinococcus_radiodurans_aa	ALU68153.1, ALU73512.1, ALU67724.1	UDL00658.1
OG0000128	Bacillus_subtilis_aa	ALU68153.1, ALU73512.1, ALU67724.1	CAB13157.2, CAB13004.1, CAB12994.2
OG0000129	Deinococcus_radiodurans_aa	ALU69742.1, ALU68654.1, ALU70981.1	UDL00095.1
OG0000129	Bacillus_subtilis_aa	ALU69742.1, ALU68654.1, ALU70981.1	CAB15210.2, CAB15200.1, CAB13086.1
OG0000130	Bacillus_subtilis_aa	ALU71334.1	CAB13113.1
OG0000130	Bacillus_subtilis_aa	ALU72580.1, ALU71446.1	CAB13346.1, CAB14242.2, CAB14654.1
OG0000131	Deinococcus_radiodurans_aa	ALU72880.1	UDL00149.1, UDL00150.1
OG0000131	Bacillus_subtilis_aa	ALU72880.1	CAB15454.1, CAB13166.1, CAB13167.1, CAB15455.1
OG0000132	Bacillus_subtilis_aa	ALU73505.1, ALU68404.1, ALU72587.1, ALU72517.1	CAB13188.1, CAB13629.1
OG0000132	Deinococcus_radiodurans_aa	ALU73505.1, ALU68404.1, ALU72587.1, ALU72517.1	UDL00080.1
OG0000133	Bacillus_subtilis_aa	ALU68184.1	CAB13394.1, CAB13358.1
OG0000133	Bacillus_subtilis_aa	ALU70588.1, ALU69425.1	CAB15838.1
