Orthogroup	Bacillus_subtilis_aa	Deinococcus_radiodurans_aa	Rhodococcus_erythropolis_aa
OG0000010			ALU67840.1, ALU67841.1, ALU68076.1, ALU68754.1, ALU69126.1, ALU69148.1, ALU69198.1, ALU69284.1, ALU70088.1, ALU72909.1, ALU72973.1, ALU72976.1, ALU73072.1, ALU73074.1, ALU73528.1
OG0000011			ALU67931.1, ALU68007.1, ALU68008.1, ALU68020.1, ALU68829.1, ALU69968.1, ALU69969.1, ALU70105.1, ALU70507.1, ALU70717.1, ALU71029.1, ALU72038.1, ALU72338.1, ALU72339.1, ALU72406.1
OG0000012			ALU68071.1, ALU68540.1, ALU68779.1, ALU68835.1, ALU68933.1, ALU68937.1, ALU69493.1, ALU69843.1, ALU69844.1, ALU71118.1, ALU72763.1, ALU72834.1, ALU72852.1, ALU72966.1, ALU73180.1
OG0000013	CAB12870.2, CAB12917.1, CAB13176.1, CAB13403.1, CAB13610.1, CAB15509.1, CAB15835.1, CAB15866.1	UDK99975.1, UDL00563.1, UDL00990.1, UDL01344.1, UDL02088.1	ALU71991.1
OG0000014	CAB12879.1		ALU69123.1, ALU69266.1, ALU69496.1, ALU69860.1, ALU70719.1, ALU70745.1, ALU71143.1, ALU72504.1, ALU72627.1, ALU73043.1, ALU73044.1, ALU73429.1, ALU73691.1
OG0000015	CAB11929.1, CAB13625.2, CAB14350.2, CAB14717.1, CAB15579.1, CAB15580.1, CAB15692.1	UDK99753.1, UDL00500.1, UDL00718.1, UDL01775.1	ALU67854.1, ALU68019.1
OG0000016	CAB12447.1, CAB12930.1, CAB15369.1	UDK99957.1, UDL01734.1	ALU68677.1, ALU69351.1, ALU70497.1, ALU72255.1, ALU72283.1, ALU72809.1, ALU73496.1, ALU73629.1
OG0000017	CAB12666.1	UDK99285.1, UDL00494.1, UDL00497.1, UDL01415.1, UDL02250.1	ALU67851.1, ALU70624.1, ALU70818.1, ALU71412.1, ALU72047.1, ALU72212.1, ALU72756.1
OG0000018	CAB12713.1	UDL01227.1	ALU68346.1, ALU68347.1, ALU68359.1, ALU69332.1, ALU69539.1, ALU70156.1, ALU71673.1, ALU73007.1, ALU73008.1, ALU73671.1, ALU73672.1
OG0000019	CAB14310.1	UDL00991.1	ALU68611.1, ALU68644.1, ALU68974.1, ALU69113.1, ALU69339.1, ALU70293.1, ALU70657.1, ALU71916.1, ALU72265.1, ALU72478.1, ALU73607.1
OG0000020		UDK99775.1, UDK99817.1, UDK99984.1, UDL00187.1, UDL00318.1, UDL00380.1, UDL00777.1, UDL00817.1, UDL01588.1, UDL01744.1, UDL02072.1, UDL02087.1, UDL02116.1	
OG0000021			ALU67845.1, ALU67981.1, ALU68080.1, ALU68607.1, ALU68800.1, ALU69127.1, ALU69152.1, ALU69298.1, ALU69690.1, ALU72932.1, ALU72933.1, ALU73069.1, ALU73669.1
OG0000022			ALU67926.1, ALU68565.1, ALU68582.1, ALU69564.1, ALU69971.1, ALU70344.1, ALU70386.1, ALU70671.1, ALU71211.1, ALU71453.1, ALU71506.1, ALU72335.1, ALU73088.1
OG0000023	CAB12076.1, CAB12185.1, CAB12308.1, CAB12433.1, CAB12503.2, CAB13100.1, CAB13783.1, CAB14524.2, CAB15655.1, CAB15686.1, CAB15773.1, CAB16067.1		
OG0000024	CAB12131.1, CAB12154.1, CAB14328.1, CAB14686.1, CAB14687.1, CAB14896.1	UDK99745.1, UDL00169.1, UDL01185.1, UDL01299.1	ALU69819.1, ALU71290.1
OG0000025	CAB12348.1, CAB12760.1, CAB15299.1, CAB15567.1	UDK99758.1, UDL00649.1	ALU67815.1, ALU68123.1, ALU68827.1, ALU71948.1, ALU71949.1, ALU72794.1
OG0000026	CAB12924.1, CAB14737.1	UDK99963.1	ALU67971.1, ALU69497.1, ALU71849.1, ALU71851.1, ALU71856.1, ALU71859.1, ALU72918.1, ALU72919.1, ALU72920.1
OG0000027	CAB13078.1, CAB13607.2, CAB14615.1, CAB14997.1	UDL01538.1	ALU70726.1, ALU70733.1, ALU72364.1, ALU72730.1, ALU72937.1, ALU73014.1, ALU73398.1
OG0000028		UDK99338.1	ALU67985.1, ALU68521.1, ALU68548.1, ALU68648.1, ALU68921.1, ALU69343.1, ALU70048.1, ALU71365.1, ALU73194.1, ALU73526.1, ALU73536.1
OG0000029		UDL00557.1, UDL00835.1, UDL01072.1, UDL01442.1, UDL01663.1, UDL01707.1, UDL01719.1, UDL02244.1, UDL02272.1, UDL02275.1, UDL02276.1, UDL02303.1	
OG0000030		UDL01179.1	ALU68135.1, ALU68617.1, ALU68686.1, ALU68973.1, ALU68977.1, ALU69237.1, ALU70299.1, ALU71025.1, ALU71139.1, ALU71144.1, ALU72241.1
OG0000031			ALU68026.1, ALU68027.1, ALU68551.1, ALU68552.1, ALU71952.1, ALU71953.1, ALU72273.1, ALU72274.1, ALU72723.1, ALU72724.1, ALU73085.1, ALU73086.1
OG0000032			ALU68072.1, ALU68507.1, ALU68563.1, ALU68778.1, ALU69158.1, ALU69518.1, ALU69836.1, ALU70685.1, ALU71452.1, ALU72853.1, ALU73053.1, ALU73087.1
OG0000033	CAB11933.1, CAB12627.1, CAB12805.1, CAB13067.1, CAB13543.1	UDL00213.1, UDL00349.1, UDL00691.1, UDL01697.1	ALU73163.1, ALU73435.1
OG0000034	CAB12141.2, CAB12334.1, CAB12336.1, CAB13249.1, CAB13845.1, CAB14863.1, CAB15373.2, CAB16091.1	UDL01018.1	ALU68547.1, ALU69306.1
OG0000035	CAB12212.2, CAB12822.2, CAB12954.1, CAB13328.1, CAB15602.1, CAB15646.1	UDL01178.1, UDL01639.1	ALU68021.1, ALU71608.1, ALU72982.1
OG0000036	CAB15784.1		ALU68834.1, ALU69166.1, ALU69447.1, ALU69672.1, ALU69936.1, ALU70409.1, ALU70617.1, ALU71411.1, ALU72524.1, ALU72668.1
OG0000037	CAX52589.1, CAX52706.1	UDK99563.1, UDL00182.1, UDL00816.1, UDL00912.1, UDL01005.1, UDL01116.1, UDL01619.1	ALU68370.1, ALU71078.1
OG0000038		UDK99226.1, UDL00407.1, UDL01250.1, UDL02018.1, UDL02089.1, UDL02155.1, UDL02186.1, UDL02187.1, UDL02228.1, UDL02238.1, UDL02256.1	
OG0000039			ALU67806.1, ALU67807.1, ALU68967.1, ALU69131.1, ALU69621.1, ALU70634.1, ALU70724.1, ALU72073.1, ALU72506.1, ALU72507.1, ALU73063.1
OG0000040	CAB11874.1, CAB11949.1, CAB12791.1, CAB15896.1	UDK99380.1	ALU68230.1, ALU69536.1, ALU70016.1, ALU70100.1, ALU73602.1
OG0000041	CAB12044.2, CAB15423.2	UDL00966.1	ALU68244.1, ALU68630.1, ALU68737.1, ALU68804.1, ALU71706.1, ALU72798.1, ALU72925.1
OG0000042	CAB12110.2, CAB12225.1, CAB14191.1, CAB14660.1, CAB16025.1	UDK99242.1, UDL01425.1	ALU71602.1, ALU72167.1, ALU72452.1
OG0000043	CAB12138.2, CAB12555.1, CAB12878.1, CAB13268.2, CAB13753.2, CAB15101.1, CAB15102.2, CAB15103.1, CAB15104.2, CAB15374.1		
OG0000044	CAB12142.2, CAB12143.2, CAB12145.2, CAB13713.1, CAB13714.2, CAB13715.1, CAB13716.1, CAB13717.2, CAB15186.3		ALU71031.1
OG0000045	CAB12182.2, CAB13310.1, CAB15019.1, CAB15317.3	UDK99658.1, UDK99669.1, UDL02179.1	ALU70086.1, ALU71766.1, ALU72742.1
OG0000046	CAB12304.1, CAB13156.2, CAB13805.1	UDL00444.1, UDL00475.1, UDL00825.1	ALU69446.1, ALU69677.1, ALU70554.1, ALU70555.1
OG0000047	CAB12658.1, CAB15916.1		ALU70460.1, ALU70958.1, ALU71172.1, ALU71580.1, ALU71665.1, ALU71769.1, ALU72837.1, ALU73126.1
OG0000048	CAB12712.1, CAB15037.2	UDL00400.1, UDL00738.1	ALU68348.1, ALU68360.1, ALU68429.1, ALU69333.1, ALU69537.1, ALU73773.1
OG0000049	CAB12794.1, CAB12798.1, CAB14406.1, CAB14602.1, CAB15119.2	UDL01207.1, UDL02252.1, UDL02253.1	ALU70995.1, ALU70996.1
OG0000050	CAB13191.1, CAB13240.1, CAB14088.1, CAB14800.1, CAB15276.1, CAB15782.1		ALU68717.1, ALU68718.1, ALU70133.1, ALU71218.1
OG0000051	CAB13450.1	UDL00367.1, UDL00917.1, UDL01523.1, UDL01630.1	ALU68186.1, ALU68187.1, ALU70445.1, ALU70568.1, ALU71937.1
OG0000052	CAB13726.1	UDL01686.1, UDL02016.1	ALU67875.1, ALU67960.1, ALU68756.1, ALU71045.1, ALU71906.1, ALU72132.1, ALU72134.1
OG0000053	CAB14632.2, CAB15131.1, CAB15415.1	UDL00445.1, UDL00466.1	ALU68350.1, ALU68934.1, ALU71253.1, ALU72734.1, ALU72981.1
OG0000054	CAB14815.1, CAB15453.2	UDL01395.1	ALU67849.1, ALU68500.1, ALU70700.1, ALU72315.1, ALU72776.1, ALU72971.1, ALU73564.1
OG0000055	CAB15066.1, CAB15069.1	UDK99884.1, UDL00025.1	ALU70013.1, ALU70557.1, ALU71182.1, ALU72254.1, ALU72293.1, ALU72551.1
OG0000056		UDK99346.1, UDL01637.1, UDL01693.1, UDL02141.1, UDL02158.1, UDL02185.1, UDL02227.1, UDL02241.1, UDL02258.1, UDL02307.1	
OG0000057		UDK99906.1	ALU68987.1, ALU69310.1, ALU69312.1, ALU69609.1, ALU69845.1, ALU70410.1, ALU71621.1, ALU72714.1, ALU73010.1
OG0000058		UDL01505.1	ALU67711.1, ALU67904.1, ALU68672.1, ALU68732.1, ALU68855.1, ALU69656.1, ALU69725.1, ALU69726.1, ALU70972.1
OG0000059			ALU67686.1, ALU67850.1, ALU68248.1, ALU68651.1, ALU69846.1, ALU69978.1, ALU70625.1, ALU73062.1, ALU73250.1, ALU73525.1
OG0000060			ALU67811.1, ALU68816.1, ALU68847.1, ALU69340.1, ALU69531.1, ALU70050.1, ALU70701.1, ALU72508.1, ALU73535.1, ALU73539.1
OG0000061			ALU67825.1, ALU68237.1, ALU68810.1, ALU70068.1, ALU71520.1, ALU72842.1, ALU73055.1, ALU73320.1, ALU73720.1, ALU73725.1
OG0000062			ALU70734.1, ALU70735.1, ALU72150.1, ALU72151.1, ALU72905.1, ALU72906.1, ALU72951.1, ALU72952.1, ALU73102.1, ALU73103.1
OG0000063	CAB11940.1, CAB11957.1, CAB12026.1, CAB12515.1, CAB12520.1, CAB12654.1, CAB13797.1, CAB14993.1, CAB16035.2		
OG0000064	CAB12031.1, CAB12404.1, CAB12611.1, CAB15246.1, CAB15508.1, CAB16050.1	UDL01981.1	ALU70189.1, ALU71866.1
OG0000065	CAB12209.1, CAB12889.1, CAB13314.1, CAB14263.1	UDL00440.1, UDL00533.1, UDL00814.1	ALU68705.1, ALU71511.1
OG0000066	CAB12442.1, CAB12655.1, CAB13647.2, CAB15401.1, CAB15600.2, CAB16007.2, CAB16017.1, CAB16121.2		ALU71213.1
OG0000067	CAB12492.1, CAB14331.2, CAB14972.1	UDL00477.1, UDL00652.1, UDL01262.1	ALU69203.1, ALU70920.1, ALU71720.1
OG0000068	CAB12667.1, CAB13276.2	UDL00443.1	ALU68112.1, ALU69568.1, ALU69578.1, ALU69623.1, ALU70160.1, ALU71340.1
OG0000069	CAB12711.3	UDL01228.1	ALU68345.1, ALU69334.1, ALU69538.1, ALU70155.1, ALU71672.1, ALU73006.1, ALU73670.1
OG0000070	CAB13568.1, CAB15449.1	UDL01986.1	ALU68786.1, ALU69676.1, ALU71369.1, ALU71468.1, ALU73048.1, ALU73064.1
OG0000071	CAB13867.1, CAB15433.1, CAB15435.1, CAB15438.2, CAB15572.1, CAB15585.1, CAB15817.1, CAB15824.1	UDL01817.1	
OG0000072	CAB14659.1, CAB15848.2	UDL02056.1	ALU69533.1, ALU69873.1, ALU70051.1, ALU70208.1, ALU71710.1, ALU72967.1
OG0000073	CAB15569.1, CAB15582.1, CAB15601.3	UDL00587.1, UDL01571.1	ALU68041.1, ALU69402.1, ALU71764.1, ALU73162.1
OG0000074		UDK99303.1, UDK99457.1, UDK99731.1, UDK99950.1, UDK99951.1, UDL00033.1, UDL00120.1	ALU69983.1, ALU72962.1
OG0000075			ALU67821.1, ALU68505.1, ALU68871.1, ALU69093.1, ALU69584.1, ALU69850.1, ALU71899.1, ALU72133.1, ALU73273.1
OG0000076			ALU67958.1, ALU69323.1, ALU70220.1, ALU70424.1, ALU70746.1, ALU72128.1, ALU72983.1, ALU73019.1, ALU73413.1
OG0000077			ALU68349.1, ALU69062.1, ALU69085.1, ALU71560.1, ALU72494.1, ALU72670.1, ALU72947.1, ALU73531.1, ALU73542.1
OG0000078			ALU68585.1, ALU69582.1, ALU69746.1, ALU69829.1, ALU70819.1, ALU72036.1, ALU72037.1, ALU72190.1, ALU73059.1
OG0000079			ALU68769.1, ALU68812.1, ALU68830.1, ALU69412.1, ALU70463.1, ALU70496.1, ALU71390.1, ALU72055.1, ALU73523.1
OG0000080			ALU68844.1, ALU69420.1, ALU69874.1, ALU70936.1, ALU72865.1, ALU73277.1, ALU73278.1, ALU73341.1, ALU73487.1
OG0000081	CAB12051.2, CAB12256.1, CAB12736.1	UDL00156.1	ALU70000.1, ALU70055.1, ALU71147.1, ALU72391.1
OG0000082	CAB12057.2, CAB12417.1, CAB13655.1	UDK99488.1, UDK99968.1	ALU70924.1, ALU72607.1, ALU73441.1
OG0000083	CAB12204.1, CAB13311.1, CAB15099.1, CAB15647.1, CAB16013.1	UDL02203.1	ALU67717.1, ALU71274.1
OG0000084	CAB12223.1, CAB13057.2, CAB13261.2, CAB15833.1, CAB15868.1, CAB15886.1, CAB15944.2, CAX52549.1		
OG0000085	CAB12319.1, CAB12738.1, CAB14111.1	UDL00061.1	ALU67735.1, ALU68936.1, ALU69826.1, ALU72598.1
OG0000086	CAB12350.1	UDK99316.1	ALU67902.1, ALU70459.1, ALU71915.1, ALU72053.1, ALU72788.1, ALU72889.1
OG0000087	CAB12414.2, CAB12571.2, CAB13316.1	UDK99659.1, UDL00720.1	ALU69634.1, ALU70314.1, ALU71026.1
OG0000088	CAB12547.2, CAB15065.1, CAB15912.1	UDK99882.1, UDL01028.1, UDL01990.1	ALU70973.1, ALU71249.1
OG0000089	CAB12796.1, CAB13273.2, CAB14153.1, CAB15129.2	UDK99800.1, UDL01662.1	ALU69519.1, ALU72843.1
OG0000090	CAB12847.2, CAB14889.1, CAB15983.2	UDK99531.1, UDL00789.1	ALU68442.1, ALU71829.1, ALU73418.1
OG0000091	CAB12856.1, CAB15174.1	UDK99286.1	ALU68061.1, ALU68760.1, ALU69006.1, ALU72747.1, ALU73375.1
OG0000092	CAB12922.1		ALU68132.1, ALU68424.1, ALU68472.1, ALU68473.1, ALU70533.1, ALU70772.1, ALU71928.1
OG0000093	CAB12997.1, CAB13002.1, CAB13151.1	UDL00102.1, UDL01978.1	ALU67747.1, ALU68155.1, ALU73514.1
OG0000094	CAB13147.2, CAB14354.2, CAB15290.2, CAB16073.1	UDL00131.1, UDL00831.1	ALU69788.1, ALU70018.1
OG0000095	CAB13199.2	UDK99650.1, UDL01321.1	ALU67893.1, ALU68087.1, ALU68671.1, ALU69904.1, ALU69905.1
OG0000096	CAB13257.1, CAB13296.2, CAB13685.1, CAB14247.2	UDK99389.1, UDK99537.1	ALU67763.1, ALU72206.1
OG0000097	CAB13309.1, CAB15020.1, CAB15318.2	UDK99657.1	ALU70085.1, ALU71767.1, ALU72741.1, ALU73052.1
OG0000098	CAB13799.1	UDK99891.1	ALU69270.1, ALU70658.1, ALU71363.1, ALU71920.1, ALU72474.1, ALU73463.1
OG0000099	CAB14385.2, CAB14591.1, CAB14592.2, CAB14594.1, CAB15009.2	UDL02054.1	ALU70791.1, ALU71903.1
OG0000100	CAB14416.2	UDL01318.1	ALU68792.1, ALU69707.1, ALU70563.1, ALU72262.1, ALU72768.1, ALU72916.1
OG0000101	CAB14683.1, CAB15094.1, CAB15168.1	UDK99451.1, UDL00055.1	ALU69950.1, ALU72678.1, ALU72795.1
OG0000102	CAB15084.1	UDL01902.1	ALU67727.1, ALU69773.1, ALU70723.1, ALU72771.1, ALU73325.1, ALU73519.1
OG0000103	CAB15375.1, CAB15377.1, CAB15385.1, CAB15387.1	UDL01911.1	ALU69289.1, ALU69291.1, ALU70043.1
OG0000104	CAB15444.1	UDK99600.1, UDL01616.1	ALU67769.1, ALU68537.1, ALU69738.1, ALU69739.1, ALU70159.1
OG0000105		UDL01544.1	ALU68426.1, ALU69034.1, ALU70385.1, ALU72926.1, ALU72946.1, ALU73131.1, ALU73319.1
OG0000106			ALU67676.1, ALU67687.1, ALU69233.1, ALU69234.1, ALU72414.1, ALU72641.1, ALU72844.1, ALU72856.1
OG0000107			ALU67685.1, ALU67984.1, ALU67991.1, ALU68324.1, ALU68788.1, ALU69549.1, ALU69681.1, ALU70616.1
OG0000108			ALU67781.1, ALU69670.1, ALU69709.1, ALU71685.1, ALU71721.1, ALU71756.1, ALU71961.1, ALU72591.1
OG0000109			ALU71445.1, ALU71817.1, ALU72590.1, ALU72602.1, ALU72696.1, ALU72883.1, ALU73392.1, ALU73616.1
OG0000110			ALU73378.1, ALU73379.1, ALU73410.1, ALU73422.1, ALU73442.1, ALU73480.1, ALU73559.1, ALU73656.1
OG0000111	CAB11862.1	UDL00184.1	ALU68935.1, ALU69471.1, ALU72194.1, ALU72481.1, ALU73135.1
OG0000112	CAB12015.1, CAB12149.2, CAB12343.1	UDK99694.1, UDL01696.1	ALU67684.1, ALU70773.1
OG0000113	CAB12062.1, CAB16036.2		ALU67768.1, ALU68978.1, ALU70631.1, ALU72789.1, ALU73608.1
OG0000114	CAB12071.1, CAB12792.1, CAB16014.1	UDL01284.1	ALU67725.1, ALU69176.1, ALU70093.1
OG0000115	CAB12132.1, CAB12155.2, CAB15986.1	UDK99744.1, UDL01184.1, UDL01601.1, UDL02205.1	
OG0000116	CAB12160.2	UDK99829.1	ALU67760.1, ALU68577.1, ALU70489.1, ALU72695.1, ALU73245.1
OG0000117	CAB12280.2, CAB13218.1, CAB13520.1		ALU68405.1, ALU72297.1, ALU72594.1, ALU73506.1
OG0000118	CAB12335.1, CAB12936.1, CAB12952.1, CAB14167.2, CAB14441.2, CAB15545.2, CAB15910.1		
OG0000119	CAB12340.1, CAB13804.1	UDL00700.1, UDL01850.1	ALU70435.1, ALU70621.1, ALU70708.1
OG0000120	CAB12386.1, CAB12541.1	UDL00294.1	ALU68446.1, ALU68866.1, ALU68940.1, ALU69190.1
OG0000121	CAB12388.2, CAB13097.1, CAB14590.1, CAB15228.1	UDK99725.1	ALU72421.1, ALU72803.1
OG0000122	CAB12637.1, CAB13333.1, CAB13828.2, CAB14334.1	UDK99248.1, UDK99294.1	ALU68260.1
OG0000123	CAB12697.2, CAB12810.1, CAB13305.1, CAB15751.1	UDL01398.1, UDL02096.1	ALU70312.1
OG0000124	CAB12740.1	UDK99785.1, UDL02170.1, UDL02219.1	ALU68151.1, ALU70640.1, ALU72435.1
OG0000125	CAB12851.2, CAB14148.1, CAB15138.2, CAB15778.2	UDL01653.1	ALU68316.1, ALU68375.1
OG0000126	CAB12931.1, CAB13434.1	UDL01794.1	ALU68096.1, ALU70216.1, ALU70396.1, ALU72219.1
OG0000127	CAB12951.1, CAB15565.1	UDK99274.1, UDL00647.1, UDL00964.1, UDL01034.1	ALU70374.1
OG0000128	CAB12994.2, CAB13004.1, CAB13157.2	UDL00658.1	ALU67724.1, ALU68153.1, ALU73512.1
OG0000129	CAB13086.1, CAB15200.1, CAB15210.2	UDL00095.1	ALU68654.1, ALU69742.1, ALU70981.1
OG0000130	CAB13113.1, CAB13346.1, CAB14242.2, CAB14654.1		ALU71334.1, ALU71446.1, ALU72580.1
OG0000131	CAB13166.1, CAB13167.1, CAB15454.1, CAB15455.1	UDL00149.1, UDL00150.1	ALU72880.1
OG0000132	CAB13188.1, CAB13629.1	UDL00080.1	ALU68404.1, ALU72517.1, ALU72587.1, ALU73505.1
OG0000133	CAB13358.1, CAB13394.1, CAB15838.1	UDL01504.1	ALU68184.1, ALU69425.1, ALU70588.1
OG0000134	CAB13409.2, CAB13862.1	UDL01265.1	ALU67888.1, ALU68953.1, ALU70004.1, ALU70879.1
OG0000135	CAB13802.1	UDK99269.1	ALU68806.1, ALU69827.1, ALU70515.1, ALU70794.1, ALU72454.1
OG0000136	CAB14795.2	UDK99929.1, UDL00384.1, UDL00474.1, UDL01261.1, UDL01350.1, UDL01900.1	
OG0000137	CAB14828.1	UDL00808.1	ALU68193.1, ALU69098.1, ALU70074.1, ALU71257.1, ALU72630.1
OG0000138	CAB14933.1	UDL01540.1	ALU68632.1, ALU69272.1, ALU69465.1, ALU72359.1, ALU72645.1
OG0000139	CAB15036.1, CAB15213.2	UDK99365.1	ALU69107.1, ALU69229.1, ALU72845.1, ALU72846.1
OG0000140	CAB15347.1	UDK99827.1, UDL01414.1, UDL02243.1	ALU68158.1, ALU68543.1, ALU69658.1
OG0000141	CAB15441.1, CAB15642.1	UDL01813.1	ALU72543.1, ALU72554.1, ALU73213.1, ALU73214.1
OG0000142	CAB15892.1	UDL01338.1	ALU68586.1, ALU69583.1, ALU72035.1, ALU72189.1, ALU73060.1
OG0000143	CAB15925.1	UDL01847.1	ALU68947.1, ALU71823.1, ALU72041.1, ALU72671.1, ALU72944.1
OG0000144		UDK99348.1, UDL01003.1, UDL01004.1, UDL01117.1, UDL01736.1, UDL01801.1, UDL01940.1	
OG0000145		UDK99477.1, UDL00178.1, UDL01156.1	ALU69699.1, ALU70769.1, ALU72313.1, ALU72515.1
OG0000146		UDK99978.1	ALU67710.1, ALU68763.1, ALU69442.1, ALU70500.1, ALU71675.1, ALU72279.1
OG0000147		UDL00138.1	ALU70326.1, ALU71435.1, ALU72104.1, ALU73031.1, ALU73399.1, ALU73453.1
OG0000148		UDL00217.1	ALU68574.1, ALU69070.1, ALU69124.1, ALU69426.1, ALU69477.1, ALU73075.1
OG0000149		UDL02156.1	ALU73409.1, ALU73423.1, ALU73443.1, ALU73481.1, ALU73560.1, ALU73743.1
OG0000150			ALU67847.1, ALU67848.1, ALU68608.1, ALU69149.1, ALU69297.1, ALU72161.1, ALU73071.1
OG0000151			ALU68143.1, ALU68980.1, ALU71059.1, ALU71235.1, ALU71364.1, ALU71793.1, ALU72835.1
OG0000152			ALU68146.1, ALU68228.1, ALU68578.1, ALU69617.1, ALU69632.1, ALU71437.1, ALU71441.1
OG0000153			ALU68432.1, ALU68433.1, ALU69026.1, ALU69027.1, ALU69032.1, ALU69033.1, ALU72260.1
OG0000154			ALU68476.1, ALU68735.1, ALU68833.1, ALU69189.1, ALU69804.1, ALU70869.1, ALU72240.1
OG0000155			ALU71205.1, ALU71735.1, ALU72242.1, ALU72344.1, ALU72345.1, ALU72622.1, ALU72692.1
OG0000156	CAB11856.1, CAB14392.1, CAB15443.1	UDL00170.1, UDL01566.1	ALU67672.1
OG0000157	CAB11958.1, CAB13227.1	UDK99614.1	ALU68993.1, ALU68995.1, ALU71694.1
OG0000158	CAB12007.1, CAB12801.1, CAB14349.2	UDK99723.1, UDL01120.1	ALU68053.1
OG0000159	CAB12078.1, CAB12610.1, CAB15118.2, CAB15461.1	UDL00490.1	ALU70319.1
OG0000160	CAB12122.1, CAB13435.1, CAB14774.1	UDK99952.1, UDL01791.1	ALU71427.1
OG0000161	CAB12123.1		ALU69115.1, ALU72491.1, ALU72948.1, ALU73027.1, ALU73532.1
OG0000162	CAB12125.2, CAB13073.1, CAB14664.1	UDL00597.1	ALU71325.1, ALU71896.1
OG0000163	CAB12178.1, CAB12608.1, CAB13659.1, CAB14271.2, CAB15295.2, CAB15597.2		
OG0000164	CAB12197.1, CAB12331.1, CAB12787.1	UDL00004.1	ALU67716.1, ALU68366.1
OG0000165	CAB12208.3, CAB14787.2	UDL00754.1, UDL00854.1	ALU70775.1, ALU71566.1
OG0000166	CAB12226.1, CAB12784.1, CAB12880.1, CAB12883.1	UDL02108.1	ALU68387.1
OG0000167	CAB12289.1, CAB13108.1, CAB13777.1, CAB14020.1, CAB14291.1, CAB14576.1		
OG0000168	CAB12311.1, CAB15403.1	UDL01897.1	ALU68858.1, ALU72325.1, ALU72407.1
OG0000169	CAB12355.1, CAB12385.1, CAB12612.1, CAB13846.1	UDL01017.1	ALU69292.1
