Orthogroup	Bacillus_subtilis_aa	Deinococcus_radiodurans_aa	Rhodococcus_erythropolis_aa
OG0002606	CAB12047.1		
OG0002607	CAB12048.1		
OG0002608	CAB12049.2		
OG0002609	CAB12052.3		
OG0002610	CAB12061.1		
OG0002611	CAB12067.1		
OG0002612	CAB12068.1		
OG0002613	CAB12072.1		
OG0002614	CAB12075.1		
OG0002615	CAB12079.1		
OG0002616	CAB12080.1		
OG0002617	CAB12081.1		
OG0002618	CAB12083.1		
OG0002619	CAB12085.1		
OG0002620	CAB12087.1		
OG0002621	CAB12090.1		
OG0002622	CAB12092.2		
OG0002623	CAB12093.1		
OG0002624	CAB12094.1		
OG0002625	CAB12095.2		
OG0002626	CAB12097.2		
OG0002627	CAB12098.2		
OG0002628	CAB12100.2		
OG0002629	CAB12101.2		
OG0002630	CAB12103.1		
OG0002631	CAB12105.2		
OG0002632	CAB12111.2		
OG0002633	CAB12113.1		
OG0002634	CAB12118.1		
OG0002635	CAB12119.1		
OG0002636	CAB12128.2		
OG0002637	CAB12134.1		
OG0002638	CAB12136.1		
OG0002639	CAB12144.1		
OG0002640	CAB12146.1		
OG0002641	CAB12148.1		
OG0002642	CAB12150.1		
OG0002643	CAB12156.1		
OG0002644	CAB12159.2		
OG0002645	CAB12177.1		
OG0002646	CAB12181.1		
OG0002647	CAB12186.1		
OG0002648	CAB12187.1		
OG0002649	CAB12190.1		
OG0002650	CAB12200.1		
OG0002651	CAB12202.1		
OG0002652	CAB12205.1		
OG0002653	CAB12206.2		
OG0002654	CAB12210.2		
OG0002655	CAB12211.2		
OG0002656	CAB12215.3		
OG0002657	CAB12219.1		
OG0002658	CAB12222.1		
OG0002659	CAB12224.2		
OG0002660	CAB12227.1		
OG0002661	CAB12228.1		
OG0002662	CAB12229.1		
OG0002663	CAB12230.1		
OG0002664	CAB12231.1		
OG0002665	CAB12234.1		
OG0002666	CAB12235.1		
OG0002667	CAB12236.1		
OG0002668	CAB12238.1		
OG0002669	CAB12244.1		
OG0002670	CAB12245.1		
OG0002671	CAB12247.1		
OG0002672	CAB12249.1		
OG0002673	CAB12251.1		
OG0002674	CAB12253.1		
OG0002675	CAB12255.1		
OG0002676	CAB12258.1		
OG0002677	CAB12259.1		
OG0002678	CAB12260.1		
OG0002679	CAB12267.1		
OG0002680	CAB12269.1		
OG0002681	CAB12270.2		
OG0002682	CAB12273.1		
OG0002683	CAB12277.1		
OG0002684	CAB12281.1		
OG0002685	CAB12282.1		
OG0002686	CAB12286.1		
OG0002687	CAB12288.1		
OG0002688	CAB12290.1		
OG0002689	CAB12291.1		
OG0002690	CAB12292.1		
OG0002691	CAB12294.1		
OG0002692	CAB12297.1		
OG0002693	CAB12298.1		
OG0002694	CAB12299.1		
OG0002695	CAB12300.1		
OG0002696	CAB12301.3		
OG0002697	CAB12302.1		
OG0002698	CAB12303.1		
OG0002699	CAB12305.1		
OG0002700	CAB12306.1		
OG0002701	CAB12307.1		
OG0002702	CAB12309.1		
OG0002703	CAB12310.1		
OG0002704	CAB12315.1		
OG0002705	CAB12325.2		
OG0002706	CAB12327.1		
OG0002707	CAB12328.1		
OG0002708	CAB12329.1		
OG0002709	CAB12333.1		
OG0002710	CAB12342.1		
OG0002711	CAB12345.1		
OG0002712	CAB12346.1		
OG0002713	CAB12349.1		
OG0002714	CAB12358.1		
OG0002715	CAB12362.1		
OG0002716	CAB12366.1		
OG0002717	CAB12368.1		
OG0002718	CAB12392.1		
OG0002719	CAB12394.1		
OG0002720	CAB12395.1		
OG0002721	CAB12398.1		
OG0002722	CAB12403.1		
OG0002723	CAB12405.1		
OG0002724	CAB12407.2		
OG0002725	CAB12419.1		
OG0002726	CAB12420.1		
OG0002727	CAB12423.1		
OG0002728	CAB12428.1		
OG0002729	CAB12430.1		
OG0002730	CAB12431.1		
OG0002731	CAB12432.1		
OG0002732	CAB12438.1		
OG0002733	CAB12439.1		
OG0002734	CAB12440.1		
OG0002735	CAB12444.1		
OG0002736	CAB12445.1		
OG0002737	CAB12446.1		
OG0002738	CAB12448.1		
OG0002739	CAB12457.2		
OG0002740	CAB12458.3		
OG0002741	CAB12459.2		
OG0002742	CAB12461.1		
OG0002743	CAB12475.2		
OG0002744	CAB12477.1		
OG0002745	CAB12478.1		
OG0002746	CAB12480.1		
OG0002747	CAB12483.1		
OG0002748	CAB12484.1		
OG0002749	CAB12494.1		
OG0002750	CAB12495.2		
OG0002751	CAB12497.2		
OG0002752	CAB12498.2		
OG0002753	CAB12499.1		
OG0002754	CAB12500.1		
OG0002755	CAB12502.2		
OG0002756	CAB12504.3		
OG0002757	CAB12505.2		
OG0002758	CAB12506.1		
OG0002759	CAB12508.1		
OG0002760	CAB12509.2		
OG0002761	CAB12512.2		
OG0002762	CAB12514.1		
OG0002763	CAB12518.1		
OG0002764	CAB12519.1		
OG0002765	CAB12522.1		
OG0002766	CAB12528.2		
OG0002767	CAB12534.2		
OG0002768	CAB12538.1		
OG0002769	CAB12543.1		
OG0002770	CAB12549.1		
OG0002771	CAB12552.1		
OG0002772	CAB12557.1		
OG0002773	CAB12560.1		
OG0002774	CAB12573.1		
OG0002775	CAB12582.1		
OG0002776	CAB12584.1		
OG0002777	CAB12585.1		
OG0002778	CAB12589.2		
OG0002779	CAB12595.1		
OG0002780	CAB12596.1		
OG0002781	CAB12598.1		
OG0002782	CAB12601.1		
OG0002783	CAB12603.2		
OG0002784	CAB12606.1		
OG0002785	CAB12615.1		
OG0002786	CAB12616.1		
OG0002787	CAB12618.1		
OG0002788	CAB12619.1		
OG0002789	CAB12620.1		
OG0002790	CAB12622.1		
OG0002791	CAB12625.2		
OG0002792	CAB12626.1		
OG0002793	CAB12633.1		
OG0002794	CAB12634.1		
OG0002795	CAB12638.1		
OG0002796	CAB12640.1		
OG0002797	CAB12644.1		
OG0002798	CAB12645.1		
OG0002799	CAB12646.1		
OG0002800	CAB12656.1		
OG0002801	CAB12657.1		
OG0002802	CAB12665.1		
OG0002803	CAB12669.1		
OG0002804	CAB12675.1		
OG0002805	CAB12677.1		
OG0002806	CAB12678.1		
OG0002807	CAB12679.1		
OG0002808	CAB12682.1		
OG0002809	CAB12683.1		
OG0002810	CAB12684.1		
OG0002811	CAB12686.1		
OG0002812	CAB12689.2		
OG0002813	CAB12690.1		
OG0002814	CAB12692.1		
OG0002815	CAB12693.1		
OG0002816	CAB12694.1		
OG0002817	CAB12695.1		
OG0002818	CAB12696.3		
OG0002819	CAB12698.1		
OG0002820	CAB12703.1		
OG0002821	CAB12704.2		
OG0002822	CAB12705.2		
OG0002823	CAB12706.2		
OG0002824	CAB12709.2		
OG0002825	CAB12715.1		
OG0002826	CAB12717.1		
OG0002827	CAB12718.1		
OG0002828	CAB12720.1		
OG0002829	CAB12722.1		
OG0002830	CAB12725.1		
OG0002831	CAB12726.1		
OG0002832	CAB12728.1		
OG0002833	CAB12731.1		
OG0002834	CAB12732.1		
OG0002835	CAB12733.1		
OG0002836	CAB12734.1		
OG0002837	CAB12739.2		
OG0002838	CAB12741.1		
OG0002839	CAB12742.1		
OG0002840	CAB12743.2		
OG0002841	CAB12744.2		
OG0002842	CAB12746.1		
OG0002843	CAB12748.1		
OG0002844	CAB12750.2		
OG0002845	CAB12755.1		
OG0002846	CAB12761.1		
OG0002847	CAB12763.1		
OG0002848	CAB12764.1		
OG0002849	CAB12778.1		
OG0002850	CAB12779.1		
OG0002851	CAB12783.2		
OG0002852	CAB12788.1		
OG0002853	CAB12789.1		
OG0002854	CAB12790.1		
OG0002855	CAB12795.1		
OG0002856	CAB12799.1		
OG0002857	CAB12802.1		
OG0002858	CAB12803.1		
OG0002859	CAB12809.1		
OG0002860	CAB12811.1		
OG0002861	CAB12812.1		
OG0002862	CAB12813.1		
OG0002863	CAB12815.1		
OG0002864	CAB12818.1		
OG0002865	CAB12819.1		
OG0002866	CAB12827.1		
OG0002867	CAB12831.1		
OG0002868	CAB12832.1		
OG0002869	CAB12833.1		
OG0002870	CAB12834.1		
OG0002871	CAB12837.2		
OG0002872	CAB12838.1		
OG0002873	CAB12839.1		
OG0002874	CAB12840.1		
OG0002875	CAB12841.2		
OG0002876	CAB12842.1		
OG0002877	CAB12845.1		
OG0002878	CAB12848.1		
OG0002879	CAB12849.1		
OG0002880	CAB12855.1		
OG0002881	CAB12858.1		
OG0002882	CAB12861.1		
OG0002883	CAB12863.1		
OG0002884	CAB12865.1		
OG0002885	CAB12868.1		
OG0002886	CAB12869.1		
OG0002887	CAB12875.1		
OG0002888	CAB12876.1		
OG0002889	CAB12881.1		
OG0002890	CAB12882.1		
OG0002891	CAB12884.1		
OG0002892	CAB12887.1		
OG0002893	CAB12888.1		
OG0002894	CAB12892.1		
OG0002895	CAB12893.2		
OG0002896	CAB12894.2		
OG0002897	CAB12897.1		
OG0002898	CAB12900.1		
OG0002899	CAB12901.1		
OG0002900	CAB12902.2		
OG0002901	CAB12903.2		
OG0002902	CAB12908.1		
OG0002903	CAB12909.1		
OG0002904	CAB12910.1		
OG0002905	CAB12911.2		
OG0002906	CAB12913.1		
OG0002907	CAB12916.1		
OG0002908	CAB12918.1		
OG0002909	CAB12929.1		
OG0002910	CAB12935.1		
OG0002911	CAB12937.1		
OG0002912	CAB12939.1		
OG0002913	CAB12940.2		
OG0002914	CAB12943.1		
OG0002915	CAB12948.2		
OG0002916	CAB12949.1		
OG0002917	CAB12953.1		
OG0002918	CAB12955.1		
OG0002919	CAB12959.1		
OG0002920	CAB12967.1		
OG0002921	CAB12968.1		
OG0002922	CAB12969.1		
OG0002923	CAB12970.2		
OG0002924	CAB12971.2		
OG0002925	CAB12972.1		
OG0002926	CAB12973.1		
OG0002927	CAB12998.1		
OG0002928	CAB13006.2		
OG0002929	CAB13010.1		
OG0002930	CAB13012.2		
OG0002931	CAB13015.1		
OG0002932	CAB13016.1		
OG0002933	CAB13025.1		
OG0002934	CAB13030.1		
OG0002935	CAB13033.1		
OG0002936	CAB13034.1		
OG0002937	CAB13035.1		
OG0002938	CAB13038.2		
OG0002939	CAB13039.3		
OG0002940	CAB13042.1		
OG0002941	CAB13047.1		
OG0002942	CAB13048.1		
OG0002943	CAB13049.1		
OG0002944	CAB13051.1		
OG0002945	CAB13052.1		
OG0002946	CAB13056.1		
OG0002947	CAB13058.2		
OG0002948	CAB13060.1		
OG0002949	CAB13061.1		
OG0002950	CAB13062.2		
OG0002951	CAB13064.1		
OG0002952	CAB13066.2		
OG0002953	CAB13068.1		
OG0002954	CAB13069.1		
OG0002955	CAB13071.1		
OG0002956	CAB13072.1		
OG0002957	CAB13075.1		
OG0002958	CAB13076.2		
OG0002959	CAB13077.1		
OG0002960	CAB13082.1		
OG0002961	CAB13083.1		
OG0002962	CAB13085.1		
OG0002963	CAB13087.1		
OG0002964	CAB13089.1		
OG0002965	CAB13091.1		
OG0002966	CAB13092.1		
OG0002967	CAB13093.1		
OG0002968	CAB13099.1		
OG0002969	CAB13101.1		
OG0002970	CAB13102.2		
OG0002971	CAB13109.2		
OG0002972	CAB13111.1		
OG0002973	CAB13114.1		
OG0002974	CAB13124.2		
OG0002975	CAB13136.1		
OG0002976	CAB13139.1		
OG0002977	CAB13140.1		
OG0002978	CAB13143.1		
OG0002979	CAB13158.1		
OG0002980	CAB13159.2		
OG0002981	CAB13162.1		
OG0002982	CAB13164.1		
OG0002983	CAB13178.1		
OG0002984	CAB13179.2		
OG0002985	CAB13180.2		
OG0002986	CAB13181.1		
OG0002987	CAB13189.1		
OG0002988	CAB13190.1		
OG0002989	CAB13193.2		
OG0002990	CAB13195.1		
OG0002991	CAB13219.1		
OG0002992	CAB13221.1		
OG0002993	CAB13224.1		
OG0002994	CAB13225.1		
OG0002995	CAB13228.1		
OG0002996	CAB13229.2		
OG0002997	CAB13232.2		
OG0002998	CAB13233.1		
OG0002999	CAB13234.1		
OG0003000	CAB13235.1		
OG0003001	CAB13236.1		
OG0003002	CAB13237.1		
OG0003003	CAB13238.1		
OG0003004	CAB13243.1		
OG0003005	CAB13244.1		
OG0003006	CAB13245.1		
OG0003007	CAB13246.1		
OG0003008	CAB13247.1		
OG0003009	CAB13248.1		
OG0003010	CAB13250.1		
OG0003011	CAB13253.1		
OG0003012	CAB13254.2		
OG0003013	CAB13259.1		
OG0003014	CAB13266.1		
OG0003015	CAB13274.1		
OG0003016	CAB13275.1		
OG0003017	CAB13279.1		
OG0003018	CAB13281.1		
OG0003019	CAB13282.1		
OG0003020	CAB13283.1		
OG0003021	CAB13284.1		
OG0003022	CAB13285.1		
OG0003023	CAB13286.1		
OG0003024	CAB13289.1		
OG0003025	CAB13291.2		
OG0003026	CAB13292.1		
OG0003027	CAB13293.1		
OG0003028	CAB13297.1		
OG0003029	CAB13298.1		
OG0003030	CAB13302.1		
OG0003031	CAB13304.1		
OG0003032	CAB13307.1		
OG0003033	CAB13315.1		
OG0003034	CAB13317.1		
OG0003035	CAB13319.1		
OG0003036	CAB13323.1		
OG0003037	CAB13327.1		
OG0003038	CAB13329.1		
OG0003039	CAB13330.2		
OG0003040	CAB13335.1		
OG0003041	CAB13337.1		
OG0003042	CAB13338.1		
OG0003043	CAB13339.1		
OG0003044	CAB13341.1		
OG0003045	CAB13342.1		
OG0003046	CAB13344.1		
OG0003047	CAB13345.1		
OG0003048	CAB13347.1		
OG0003049	CAB13348.1		
OG0003050	CAB13349.1		
OG0003051	CAB13351.1		
OG0003052	CAB13352.1		
OG0003053	CAB13353.1		
OG0003054	CAB13355.1		
OG0003055	CAB13357.1		
OG0003056	CAB13365.1		
OG0003057	CAB13366.1		
OG0003058	CAB13367.1		
OG0003059	CAB13370.1		
OG0003060	CAB13371.1		
OG0003061	CAB13372.1		
OG0003062	CAB13373.1		
OG0003063	CAB13376.1		
OG0003064	CAB13379.1		
OG0003065	CAB13383.2		
OG0003066	CAB13384.1		
OG0003067	CAB13388.1		
OG0003068	CAB13397.1		
OG0003069	CAB13405.1		
OG0003070	CAB13414.1		
OG0003071	CAB13415.1		
OG0003072	CAB13427.1		
OG0003073	CAB13429.1		
OG0003074	CAB13432.1		
OG0003075	CAB13437.1		
OG0003076	CAB13440.1		
OG0003077	CAB13442.1		
OG0003078	CAB13453.1		
OG0003079	CAB13454.1		
OG0003080	CAB13455.1		
OG0003081	CAB13461.1		
OG0003082	CAB13469.1		
OG0003083	CAB13470.1		
OG0003084	CAB13474.1		
OG0003085	CAB13480.1		
OG0003086	CAB13488.1		
OG0003087	CAB13489.1		
OG0003088	CAB13490.1		
OG0003089	CAB13491.1		
OG0003090	CAB13492.1		
OG0003091	CAB13493.1		
OG0003092	CAB13494.1		
OG0003093	CAB13495.1		
OG0003094	CAB13496.2		
OG0003095	CAB13498.1		
OG0003096	CAB13499.2		
OG0003097	CAB13500.2		
OG0003098	CAB13501.1		
OG0003099	CAB13503.1		
OG0003100	CAB13504.1		
OG0003101	CAB13507.1		
OG0003102	CAB13508.1		
OG0003103	CAB13509.1		
OG0003104	CAB13510.2		
OG0003105	CAB13512.2		
OG0003106	CAB13513.1		
OG0003107	CAB13514.1		
OG0003108	CAB13517.1		
OG0003109	CAB13519.1		
OG0003110	CAB13521.1		
OG0003111	CAB13531.1		
OG0003112	CAB13534.1		
OG0003113	CAB13535.1		
OG0003114	CAB13546.1		
OG0003115	CAB13547.1		
OG0003116	CAB13552.3		
OG0003117	CAB13554.1		
OG0003118	CAB13560.2		
OG0003119	CAB13564.3		
OG0003120	CAB13575.1		
OG0003121	CAB13576.1		
OG0003122	CAB13581.1		
OG0003123	CAB13585.2		
OG0003124	CAB13586.2		
OG0003125	CAB13587.1		
OG0003126	CAB13588.2		
OG0003127	CAB13608.3		
OG0003128	CAB13609.2		
OG0003129	CAB13612.1		
OG0003130	CAB13615.2		
OG0003131	CAB13616.2		
OG0003132	CAB13618.1		
OG0003133	CAB13619.1		
OG0003134	CAB13620.1		
OG0003135	CAB13624.1		
OG0003136	CAB13626.2		
OG0003137	CAB13628.2		
OG0003138	CAB13635.1		
OG0003139	CAB13637.1		
OG0003140	CAB13638.1		
OG0003141	CAB13639.1		
OG0003142	CAB13640.3		
OG0003143	CAB13642.2		
OG0003144	CAB13643.3		
OG0003145	CAB13644.2		
OG0003146	CAB13649.2		
OG0003147	CAB13651.1		
OG0003148	CAB13652.1		
OG0003149	CAB13654.2		
OG0003150	CAB13656.1		
OG0003151	CAB13657.1		
OG0003152	CAB13658.2		
OG0003153	CAB13662.1		
OG0003154	CAB13663.1		
OG0003155	CAB13664.1		
OG0003156	CAB13670.1		
OG0003157	CAB13671.1		
OG0003158	CAB13672.1		
OG0003159	CAB13674.1		
OG0003160	CAB13675.1		
OG0003161	CAB13676.1		
OG0003162	CAB13679.1		
OG0003163	CAB13680.1		
OG0003164	CAB13681.1		
OG0003165	CAB13682.1		
OG0003166	CAB13683.1		
OG0003167	CAB13686.1		
OG0003168	CAB13688.1		
OG0003169	CAB13689.1		
OG0003170	CAB13693.2		
OG0003171	CAB13697.1		
OG0003172	CAB13698.1		
OG0003173	CAB13699.1		
OG0003174	CAB13703.1		
OG0003175	CAB13704.2		
OG0003176	CAB13710.1		
OG0003177	CAB13721.2		
OG0003178	CAB13722.2		
OG0003179	CAB13723.1		
OG0003180	CAB13729.2		
OG0003181	CAB13740.1		
OG0003182	CAB13742.1		
OG0003183	CAB13744.1		
OG0003184	CAB13745.1		
OG0003185	CAB13749.1		
OG0003186	CAB13751.1		
OG0003187	CAB13755.1		
OG0003188	CAB13756.1		
OG0003189	CAB13757.1		
OG0003190	CAB13760.1		
OG0003191	CAB13761.1		
OG0003192	CAB13763.2		
OG0003193	CAB13765.1		
OG0003194	CAB13766.1		
OG0003195	CAB13767.1		
OG0003196	CAB13770.1		
OG0003197	CAB13773.1		
OG0003198	CAB13776.1		
OG0003199	CAB13778.2		
OG0003200	CAB13781.1		
OG0003201	CAB13782.1		
OG0003202	CAB13784.1		
OG0003203	CAB13789.1		
OG0003204	CAB13790.1		
OG0003205	CAB13791.1		
OG0003206	CAB13795.1		
OG0003207	CAB13796.1		
OG0003208	CAB13800.1		
OG0003209	CAB13801.1		
OG0003210	CAB13803.1		
OG0003211	CAB13807.1		
OG0003212	CAB13808.1		
OG0003213	CAB13810.1		
OG0003214	CAB13817.1		
OG0003215	CAB13818.1		
OG0003216	CAB13822.1		
OG0003217	CAB13824.2		
OG0003218	CAB13825.1		
OG0003219	CAB13830.2		
OG0003220	CAB13835.3		
OG0003221	CAB13839.1		
OG0003222	CAB13842.1		
OG0003223	CAB13847.1		
OG0003224	CAB13852.1		
OG0003225	CAB13853.1		
OG0003226	CAB13855.2		
OG0003227	CAB13857.1		
OG0003228	CAB13858.1		
OG0003229	CAB13859.1		
OG0003230	CAB13861.1		
OG0003231	CAB13863.1		
OG0003232	CAB13864.1		
OG0003233	CAB13866.1		
OG0003234	CAB13868.1		
OG0003235	CAB13869.1		
OG0003236	CAB13870.2		
OG0003237	CAB13871.1		
OG0003238	CAB13873.1		
OG0003239	CAB13874.1		
OG0003240	CAB13876.1		
OG0003241	CAB13877.1		
OG0003242	CAB13878.1		
OG0003243	CAB13879.1		
OG0003244	CAB13880.1		
OG0003245	CAB13881.1		
OG0003246	CAB13882.1		
OG0003247	CAB13883.1		
OG0003248	CAB13884.1		
OG0003249	CAB13885.1		
OG0003250	CAB13888.1		
OG0003251	CAB13889.1		
OG0003252	CAB13890.1		
OG0003253	CAB13891.1		
OG0003254	CAB13892.1		
OG0003255	CAB13895.1		
OG0003256	CAB13901.1		
OG0003257	CAB13902.1		
OG0003258	CAB13903.1		
OG0003259	CAB13904.1		
OG0003260	CAB13905.1		
OG0003261	CAB13906.1		
OG0003262	CAB13907.1		
OG0003263	CAB13908.1		
OG0003264	CAB13909.1		
OG0003265	CAB13910.1		
OG0003266	CAB13911.1		
OG0003267	CAB13912.1		
OG0003268	CAB13913.1		
OG0003269	CAB13914.1		
OG0003270	CAB13915.1		
OG0003271	CAB13916.1		
OG0003272	CAB13917.1		
OG0003273	CAB13918.1		
OG0003274	CAB13919.1		
OG0003275	CAB13920.1		
OG0003276	CAB13921.1		
OG0003277	CAB13922.1		
OG0003278	CAB13923.1		
OG0003279	CAB13924.1		
OG0003280	CAB13926.1		
OG0003281	CAB13927.1		
OG0003282	CAB13928.1		
OG0003283	CAB13929.1		
OG0003284	CAB13930.1		
OG0003285	CAB13931.1		
OG0003286	CAB13932.1		
OG0003287	CAB13933.1		
OG0003288	CAB13934.1		
OG0003289	CAB13935.1		
OG0003290	CAB13936.1		
OG0003291	CAB13939.1		
OG0003292	CAB13940.1		
OG0003293	CAB13943.1		
OG0003294	CAB13945.1		
OG0003295	CAB13946.1		
OG0003296	CAB13947.1		
OG0003297	CAB13948.1		
OG0003298	CAB13949.1		
OG0003299	CAB13951.1		
OG0003300	CAB13952.1		
OG0003301	CAB13953.1		
OG0003302	CAB13954.1		
OG0003303	CAB13955.1		
OG0003304	CAB13956.1		
OG0003305	CAB13957.1		
OG0003306	CAB13958.1		
OG0003307	CAB13959.1		
OG0003308	CAB13960.1		
OG0003309	CAB13961.1		
OG0003310	CAB13962.1		
OG0003311	CAB13963.1		
OG0003312	CAB13964.1		
OG0003313	CAB13965.1		
OG0003314	CAB13966.1		
OG0003315	CAB13967.1		
OG0003316	CAB13968.1		
OG0003317	CAB13969.1		
OG0003318	CAB13971.2		
OG0003319	CAB13972.1		
OG0003320	CAB13974.1		
OG0003321	CAB13975.1		
OG0003322	CAB13976.1		
OG0003323	CAB14003.1		
OG0003324	CAB14004.1		
OG0003325	CAB14005.1		
OG0003326	CAB14006.1		
OG0003327	CAB14007.1		
OG0003328	CAB14008.1		
OG0003329	CAB14009.1		
OG0003330	CAB14012.1		
OG0003331	CAB14013.1		
OG0003332	CAB14014.1		
OG0003333	CAB14015.1		
OG0003334	CAB14016.1		
OG0003335	CAB14017.1		
OG0003336	CAB14018.1		
OG0003337	CAB14019.1		
OG0003338	CAB14021.1		
OG0003339	CAB14022.1		
OG0003340	CAB14024.1		
OG0003341	CAB14025.2		
OG0003342	CAB14026.1		
OG0003343	CAB14027.1		
OG0003344	CAB14028.1		
OG0003345	CAB14029.1		
OG0003346	CAB14030.1		
OG0003347	CAB14031.1		
OG0003348	CAB14032.1		
OG0003349	CAB14033.1		
OG0003350	CAB14034.1		
OG0003351	CAB14035.1		
OG0003352	CAB14036.1		
OG0003353	CAB14037.1		
OG0003354	CAB14038.1		
OG0003355	CAB14039.1		
OG0003356	CAB14040.1		
OG0003357	CAB14041.1		
OG0003358	CAB14044.1		
OG0003359	CAB14046.1		
OG0003360	CAB14047.1		
OG0003361	CAB14048.1		
OG0003362	CAB14049.1		
OG0003363	CAB14051.1		
OG0003364	CAB14052.1		
OG0003365	CAB14054.1		
OG0003366	CAB14055.1		
OG0003367	CAB14056.1		
OG0003368	CAB14058.1		
OG0003369	CAB14059.1		
OG0003370	CAB14060.1		
OG0003371	CAB14062.1		
OG0003372	CAB14063.1		
OG0003373	CAB14064.1		
OG0003374	CAB14065.1		
OG0003375	CAB14066.1		
OG0003376	CAB14071.1		
OG0003377	CAB14072.1		
OG0003378	CAB14074.1		
OG0003379	CAB14075.1		
OG0003380	CAB14080.1		
OG0003381	CAB14082.1		
OG0003382	CAB14083.1		
OG0003383	CAB14090.1		
OG0003384	CAB14091.1		
OG0003385	CAB14093.2		
OG0003386	CAB14094.1		
OG0003387	CAB14098.2		
OG0003388	CAB14102.1		
OG0003389	CAB14103.2		
OG0003390	CAB14106.1		
OG0003391	CAB14107.1		
OG0003392	CAB14109.2		
OG0003393	CAB14112.1		
OG0003394	CAB14113.1		
OG0003395	CAB14114.1		
OG0003396	CAB14115.2		
OG0003397	CAB14119.1		
OG0003398	CAB14120.1		
OG0003399	CAB14126.1		
OG0003400	CAB14127.1		
OG0003401	CAB14130.1		
OG0003402	CAB14131.1		
OG0003403	CAB14133.1		
OG0003404	CAB14134.1		
OG0003405	CAB14135.1		
OG0003406	CAB14136.4		
OG0003407	CAB14137.1		
OG0003408	CAB14138.1		
OG0003409	CAB14141.1		
OG0003410	CAB14142.1		
OG0003411	CAB14143.1		
OG0003412	CAB14144.1		
OG0003413	CAB14145.1		
OG0003414	CAB14146.1		
OG0003415	CAB14147.1		
OG0003416	CAB14149.1		
OG0003417	CAB14151.1		
OG0003418	CAB14154.1		
OG0003419	CAB14155.1		
OG0003420	CAB14164.1		
OG0003421	CAB14166.1		
OG0003422	CAB14168.1		
OG0003423	CAB14169.1		
OG0003424	CAB14170.1		
OG0003425	CAB14172.1		
OG0003426	CAB14173.1		
OG0003427	CAB14174.1		
OG0003428	CAB14175.1		
OG0003429	CAB14185.1		
OG0003430	CAB14188.2		
OG0003431	CAB14192.1		
OG0003432	CAB14193.1		
OG0003433	CAB14196.1		
OG0003434	CAB14197.1		
OG0003435	CAB14198.1		
OG0003436	CAB14201.1		
OG0003437	CAB14202.1		
OG0003438	CAB14206.1		
OG0003439	CAB14207.1		
OG0003440	CAB14208.1		
OG0003441	CAB14214.1		
OG0003442	CAB14215.1		
OG0003443	CAB14216.1		
OG0003444	CAB14217.1		
OG0003445	CAB14219.1		
OG0003446	CAB14220.1		
OG0003447	CAB14237.1		
OG0003448	CAB14240.1		
OG0003449	CAB14241.2		
OG0003450	CAB14244.2		
OG0003451	CAB14246.1		
OG0003452	CAB14249.2		
OG0003453	CAB14250.1		
OG0003454	CAB14252.1		
